"componente","theta","grad","theta_dot"
"theta1",0.8,-0.000752645311538212,7.52645311538212e-05
"theta2",0.3,-0.0101555834152833,0.00101555834152833
"theta3",0.1,-0.0114716748855527,0.00114716748855527
