"iter","loss","grad_norm","eta","speed","kappa","lambda_min","lambda_max","costo_local","accion_eta","b","w1","w2","theta1","theta2","theta3"
0,0.000569274695467809,0.0153395460868169,0.040221024933113,0.000616972265620497,1.21334604580483,0.06026316677927,1.4862618535032,NA,"ajuste_por_lambda_max",0.1,0.8,0.3,0.8,0.3,0.1
1,0.000560041569243829,0.0145948882870331,0.040218829983206,0.000586989330640068,1.18707348543947,0.0601568983586873,1.4863975416927,NA,"ajuste_por_lambda_max",0.100461402521596,0.800030272165841,0.300408467973756,0.800030272165841,0.300408467973756,0.100461402521596
2,0.000551679045289754,0.013902117801262,0.0402167362757219,0.000559097805287375,1.15892575621486,0.0600559022872239,1.48652698504448,NA,"ajuste_por_lambda_max",0.10089181090501,0.800065010186344,0.300806083828199,0.800065010186344,0.300806083828199,0.10089181090501
3,0.000544087546990454,0.0132582663756743,0.0402147375724098,0.000533177702962848,1.12891224010553,0.0599598527237899,1.48665056734343,NA,"ajuste_por_lambda_max",0.101293104292188,0.800103994078036,0.301193426350359,0.800103994078036,0.301193426350359,0.101293104292188
4,0.000537179006689633,0.0126605143601805,0.0402128281255759,0.000509115087947323,1.09707046813609,0.0598684437857717,1.48676864227808,NA,"ajuste_por_lambda_max",0.101667048641416,0.800147013781116,0.301571041752274,0.800147013781116,0.301571041752274,0.101667048641416
5,0.000530875534653127,0.0121061789646638,0.0402110026412885,0.000486801594324009,1.06346885257614,0.0597813884511707,1.48688153568497,NA,"ajuste_por_lambda_max",0.102015303559556,0.800193868849468,0.301939445453853,0.800193868849468,0.301939445453853,0.102015303559556
6,0.000525108241888128,0.0115927035085091,0.0402092562233264,0.000466133985694699,1.02820861089283,0.0596984179931924,1.48698954898816,NA,"ajuste_por_lambda_max",0.102339428718771,0.800244368127883,0.302299123777191,0.800244368127883,0.302299123777191,0.102339428718771
7,0.000519816199057463,0.0111176477305548,0.0402075843735959,0.000447013759162199,0.991424631702748,0.0596192793015273,1.48709295915,NA,"ajuste_por_lambda_max",0.102640889883214,0.800298329420951,0.302650535555314,0.800298329420951,0.302650535555314,0.102640889883214
8,0.000514945515764043,0.0106786792179105,0.0402059829197202,0.000429346794240482,0.953285086671913,0.0595437358929436,1.48719202312927,NA,"ajuste_por_lambda_max",0.102921064570118,0.800355579157457,0.302994113659052,0.800355579157457,0.302994113659052,0.102921064570118
9,0.000510448526311447,0.0102735659981903,0.0402044480166445,0.000413043050119808,0.913989631065072,0.0594715654417284,1.48728697776426,NA,"ajuste_por_lambda_max",0.103181247367198,0.800415952053308,0.303330266444664,0.800415952053308,0.303330266444664,0.103181247367198
10,0.000506283069629089,0.00990017031446073,0.0402029761044595,0.000398016310582345,0.873766146088418,0.0594025595839434,1.48737804236606,NA,"ajuste_por_lambda_max",0.10342265492801,0.800479290775704,0.303659379126097,0.800479290775704,0.303659379126097,0.10342265492801
11,0.000502411852486162,0.00955644357349665,0.0402015638918572,0.000384183976898853,0.832866067013362,0.0593365225335569,1.48746541972849,NA,"ajuste_por_lambda_max",0.103646430664683,0.800545445610623,0.303981815074749,0.800545445610623,0.303981815074749,0.103646430664683
12,0.000498801886365023,0.0092404224220047,0.0402002083260347,0.000371466906385151,0.791558465152371,0.0592732707228784,1.48754929797807,NA,"ajuste_por_lambda_max",0.103853649156732,0.800614274135406,0.304297917050122,0.800614274135406,0.304297917050122,0.103853649156732
