"iter","loss","grad_norm","W_norm","b1_norm","v_norm","b2"
0,0.218387576006887,0.580750133449679,0.239996268650115,0,0.151148619457869,0
1,0.188078197550124,0.463490418423884,0.237734063085324,0.00840712140339237,0.147476637423468,0.0559939356408675
2,0.168735579098613,0.371637871850166,0.236313789631512,0.0149026166945547,0.145493324287306,0.100361431155665
5,0.142684837224589,0.201561364575353,0.235732191328815,0.0270753476847684,0.145966283312691,0.185387647708397
10,0.131315113002732,0.112182593766065,0.243466723229911,0.0352010523758939,0.159538290213065,0.242499516848523
25,0.108717597321529,0.148684085937962,0.320851327418814,0.0362494041057878,0.264188584106291,0.259322644298091
50,0.0355185673462042,0.155762855393556,0.57993335023116,0.0228267041083912,0.565916875096829,0.229252187015643
100,0.00401728236873207,0.027740947456045,0.779823175778946,0.0620487007761598,0.806868515414005,0.208168976247504
150,0.00150980108942246,0.0176407091123157,0.802944622224357,0.100734175715574,0.842552614070506,0.216842095374864
200,0.00050883901250543,0.0106953170989006,0.816423262636017,0.1247688199189,0.864184487629518,0.222788081134618
