"iter","time","loss","grad_norm","lambda_min","lambda_max","n_pos","n_neg","n_zero","clasificacion","curvatura"
0,0,0.000569274695467809,0.0153395460868169,0.06026316677927,1.4862618535032,3,0,0,"curvatura_positiva",1.21334604580483
1,1,0.000547172273905477,0.0135047360714771,0.0599990197371739,1.48659679765967,3,0,0,"curvatura_positiva",1.14064080279998
2,2,0.000529974770655331,0.0119919023025169,0.0597673963495246,1.48689432745658,3,0,0,"curvatura_positiva",1.0554008056494
5,5,0.000496241907252418,0.00894303645428392,0.0592215377888165,1.48761232353613,3,0,0,"curvatura_positiva",0.746753246935179
10,10,0.000465725779648662,0.00682418835375564,0.0586214296719881,1.48841410122007,3,0,0,"curvatura_positiva",0.301572562221002
25,25,0.000410020727513826,0.00567052524002788,0.0575985944525533,1.48937268739431,3,0,0,"curvatura_positiva",0.0630879864722376
50,50,0.000340288711656391,0.00489807626000445,0.0563045410550134,1.48922170489044,3,0,0,"curvatura_positiva",0.0565724674151081
75,75,0.000287857473927432,0.0042583649608356,0.0551444745550518,1.48853605514331,3,0,0,"curvatura_positiva",0.055179533959046
100,100,0.000248111289482336,0.00371327012265456,0.0541198702934181,1.48780078545199,3,0,0,"curvatura_positiva",0.0541280672571092
