"iter","time","loss","grad_norm","speed","reduccion_relativa","regimen"
0,0,0.000569274695467809,0.0153395460868169,0.00153395460868169,NA,"Ajuste inicial"
1,1,0.000547172273905477,0.0135047360714771,0.00135047360714771,0.0388255822706882,"Descenso dirigido"
2,2,0.000529974770655331,0.0119919023025169,0.00119919023025169,0.03142977822317,"Descenso dirigido"
5,5,0.000496241907252418,0.00894303645428392,0.000894303645428393,0.0180086271920162,"Descenso dirigido"
10,10,0.000465725779648662,0.00682418835375564,0.000682418835375564,0.0104320131796487,"Descenso dirigido"
25,25,0.000410020727513826,0.00567052524002788,0.000567052524002788,0.00785589311718374,"Refinamiento"
50,50,0.000340288711656391,0.00489807626000445,0.000489807626000445,0.00706035526177131,"Refinamiento"
75,75,0.000287857473927432,0.0042583649608356,0.00042583649608356,0.00631198483331103,"Refinamiento"
100,100,0.000248111289482336,0.00371327012265456,0.000371327012265456,0.00557158211583065,"Refinamiento"
