"z","sigmoid","dsigmoid","tanh","dtanh"
-3,0.0474258731775668,0.0451766597309121,-0.99505475368673,0.00986603716544021
-2,0.119202922022118,0.104993585403507,-0.964027580075817,0.0706508248531644
-1,0.268941421369995,0.196611933241482,-0.761594155955765,0.419974341614026
0,0.5,0.25,0,1
1,0.731058578630005,0.196611933241482,0.761594155955765,0.419974341614026
2,0.880797077977882,0.104993585403507,0.964027580075817,0.0706508248531644
3,0.952574126822433,0.045176659730912,0.99505475368673,0.00986603716544021
