"iter","loss","grad_norm","eta","speed","kappa","lambda_min","lambda_max","costo_local","accion_eta","b","w1","w2","theta1","theta2","theta3"
0,0.000569274695467809,0.0153395460868169,0.1,0.00153395460868169,1.21334604580483,0.06026316677927,1.4862618535032,0.000547172273905477,"seleccion_optima_local",0.1,0.8,0.3,0.8,0.3,0.1
1,0.000547172273905477,0.0135047360714771,0.1,0.00135047360714771,1.14064080279998,0.0599990197371739,1.48659679765967,0.000529974770655331,"seleccion_optima_local",0.101147167488555,0.800075264531154,0.301015558341528,0.800075264531154,0.301015558341528,0.101147167488555
2,0.000529974770655331,0.0119919023025169,0.1,0.00119919023025169,1.0554008056494,0.0597673963495246,1.48689432745658,0.000516353154747911,"seleccion_optima_local",0.102102890617614,0.800178234199069,0.301964120153787,0.800178234199069,0.301964120153787,0.102102890617614
3,0.000516353154747911,0.0107542597840207,0.1,0.00107542597840207,0.959116906476988,0.0595633143150101,1.48715992782487,0.000505342430709379,"seleccion_optima_local",0.102895961630282,0.800305486067258,0.302854570904384,0.800305486067258,0.302854570904384,0.102895961630282
4,0.000505342430709379,0.00975032445192621,0.1,0.000975032445192622,0.854801343750506,0.0593825530938538,1.48739805026158,0.000496241907252418,"seleccion_optima_local",0.103550882174677,0.800453994708472,0.303694550248794,0.800453994708472,0.303694550248794,0.103550882174677
5,0.000496241907252418,0.00894303645428392,0.1,0.000894303645428393,0.746753246935179,0.0592215377888165,1.48761232353613,0.000488542755704302,"seleccion_optima_local",0.104088500942974,0.800621095357513,0.304490622922765,0.800621095357513,0.304490622922765,0.104088500942974
6,0.000488542755704302,0.00829924032188235,0.1,0.000829924032188235,0.639916312235339,0.0590772397549804,1.48780572361878,0.000481875405952668,"seleccion_optima_local",0.104526556735012,0.800804446857797,0.305248427884897,0.800804446857797,0.305248427884897,0.104526556735012
7,0.000481875405952668,0.00778946579326711,0.1,0.000778946579326711,0.539008731255442,0.0589470927666269,1.48798070940394,0.000475971356590603,"seleccion_optima_local",0.104880140920843,0.801001996000161,0.305972807936448,0.801001996000161,0.305972807936448,0.104880140920843
8,0.000475971356590603,0.00738788956266869,0.1,0.000738788956266869,0.447734289549082,0.0588289229020548,1.48813932974554,0.00047063545492771,"seleccion_optima_local",0.105162091235277,0.801211944171568,0.306667921998281,0.801211944171568,0.306667921998281,0.105162091235277
9,0.00047063545492771,0.00707233409761329,0.1,0.00070723340976133,0.368336413879153,0.0587208886036188,1.48828330680606,0.000465725779648662,"seleccion_optima_local",0.105383327083555,0.801432716778719,0.3073373421035,0.801432716778719,0.3073373421035,0.105383327083555
10,0.000465725779648662,0.00682418835375564,0.1,0.000682418835375564,0.301572562221002,0.0586214296719881,1.48841410122007,0.000461139042753742,"seleccion_optima_local",0.105553135035186,0.801662935616442,0.307984137003142,0.801662935616442,0.307984137003142,0.105553135035186
11,0.000461139042753742,0.00662819725888055,0.1,0.000662819725888055,0.247003720126225,0.0585292253631465,1.48853296412934,0.000456799997504736,"seleccion_optima_local",0.105679411899158,0.801901394163581,0.308610944104088,0.801901394163581,0.308610944104088,0.105679411899158
12,0.000456799997504736,0.00647212812643321,0.1,0.000647212812643321,0.203416639854063,0.0584431573391117,1.48864097597874,0.000452653753512535,"seleccion_optima_local",0.105768871678042,0.802147035675523,0.309220031277323,0.802147035675523,0.309220031277323,0.105768871678042
13,0.000452653753512535,0.00634635896496478,0.1,0.000634635896496478,0.16922528085631,0.0583622790022349,1.48873907837299,0.00044866020122623,"seleccion_optima_local",0.105827221764397,0.802398933878461,0.309813349899674,0.802398933878461,0.309813349899674,0.105827221764397
14,0.00044866020122623,0.00624344229275695,0.1,0.000624344229275695,0.142771773304375,0.0582857900894422,1.48882809857423,0.000444789966811807,"seleccion_optima_local",0.105859312946812,0.802656276039348,0.310392580328229,0.802656276039348,0.310392580328229,0.105859312946812
15,0.000444789966811807,0.00615768812144281,0.1,0.000615768812144281,0.122511985016439,0.0582130135652527,1.4889087686421,0.000441021477240442,"seleccion_optima_local",0.105869267114897,0.802918348175706,0.310959170856311,0.802918348175706,0.310959170856311,0.105869267114897
16,0.000441021477240442,0.00608479313693035,0.1,0.000608479313693035,0.107106186040996,0.0581433774998221,1.48898174081983,0.000437338830715395,"seleccion_optima_local",0.10586058597512,0.803184522173208,0.311514371064231,0.803184522173208,0.311514371064231,0.10586058597512
17,0.000437338830715395,0.00602152776083234,0.1,0.000602152776083234,0.0954455503347745,0.0580763987681998,1.48904759986743,0.000433730251260302,"seleccion_optima_local",0.105836243597678,0.803454244590727,0.312059260356969,0.803454244590727,0.312059260356969,0.105836243597678
18,0.000433730251260302,0.00596548194661243,0.1,0.000596548194661243,0.0866418411778163,0.0580116700087528,1.4891068729412,0.000430186967027353,"seleccion_optima_local",0.10579876519591,0.803727026948868,0.312594772373859,0.803727026948868,0.312594772373859,0.10579876519591
19,0.000430186967027353,0.0059148643879006,0.1,0.000591486438790061,0.0799997655248908,0.0579488476541366,1.48916003799364,0.000426702395952059,"seleccion_optima_local",0.105750294183276,0.804002437316357,0.31312171586131,0.804002437316357,0.31312171586131,0.105750294183276
20,0.000426702395952059,0.00586834714800991,0.1,0.000586834714800991,0.0749839707593226,0.0578876424826073,1.48920752939665,0.000423271554351193,"seleccion_optima_local",0.105692649249357,0.804280093027534,0.313640792517418,0.804280093027534,0.313640792517418,0.105692649249357
21,0.000423271554351193,0.00582494724290092,0.1,0.000582494724290092,0.0711871054213768,0.0578278108934001,1.48924974410102,0.000419890627251184,"seleccion_optima_local",0.105627372937832,0.804559654382642,0.314152612245819,0.804559654382642,0.314152612245819,0.105627372937832
22,0.000419890627251184,0.00578393738756875,0.1,0.000578393738756875,0.0683018316681911,0.0577691482903327,1.4892870456376,0.000416556656054264,"seleccion_optima_local",0.105555772989258,0.804840819199956,0.314657706194203,0.804840819199956,0.314657706194203,0.105555772989258
23,0.000416556656054264,0.0057447792703761,0.1,0.00057447792703761,0.0660976589682682,0.0577114832670619,1.48931976867471,0.000413267311348461,"seleccion_optima_local",0.10547895752403,0.805123318104881,0.315156537899342,0.805123318104881,0.315156537899342,0.10547895752403
24,0.000413267311348461,0.00570707396546993,0.1,0.000570707396546993,0.0644024467255626,0.0576546719961378,1.48934822098402,0.000410020727513826,"seleccion_optima_local",0.105397864981246,0.805406910455645,0.315649512814268,0.805406910455645,0.315649512814268,0.105397864981246
25,0.000410020727513826,0.00567052524002788,0.1,0.000567052524002788,0.0630879864722376,0.0575985944525533,1.48937268739431,0.000406815382192169,"seleccion_optima_local",0.105313289593239,0.805691380818287,0.31613698645355,0.805691380818287,0.31613698645355,0.105313289593239
26,0.000406815382192169,0.00563491248649283,0.1,0.000563491248649284,0.0620589465635797,0.0575431502183416,1.48939343124849,0.000403650008339109,"seleccion_optima_local",0.105225903059768,0.805976535915198,0.316619271358406,0.805976535915198,0.316619271358406,0.105225903059768
27,0.000403650008339109,0.00560007079756239,0.1,0.000560007079756239,0.0612444944616741,0.0574882558495011,1.48941069679441,0.000400523529950045,"seleccion_optima_local",0.105136272987233,0.806262201981675,0.317096643054115,0.806262201981675,0.317096643054115,0.105136272987233
28,0.000400523529950045,0.00556587631959733,0.1,0.000556587631959733,0.0605919993998099,0.057433842242592,1.48942471101117,0.000397435014997275,"seleccion_optima_local",0.105044878574317,0.806548222473901,0.317569345147079,0.806548222473901,0.317569345147079,0.105044878574317
29,0.000397435014997275,0.00553223549490131,0.1,0.000553223549490131,0.0600623263015008,0.0573798517816287,1.48943568459073,0.000394383640888687,"seleccion_optima_local",0.104952123953936,0.80683445607954,0.318037593687334,0.80683445607954,0.318037593687334,0.104952123953936
30,0.000394383640888687,0.00549907716293402,0.1,0.000549907716293402,0.0596263356690938,0.0573262373961292,1.48944381425315,0.000391368669044496,"seleccion_optima_local",0.104858349540453,0.807120774988932,0.31850158090398,0.807120774988932,0.31850158090398,0.104858349540453
31,0.000391368669044496,0.00546634676013871,0.1,0.000546634676013871,0.0592622857591132,0.057272960207973,1.48944928315448,0.000388389426120744,"seleccion_optima_local",0.104763841679284,0.807407063390739,0.318961478405177,0.807407063390739,0.318961478405177,0.104763841679284
32,0.000388389426120744,0.00543400205874366,0.1,0.000543400205874366,0.0589539106456676,0.0572199886319614,1.48945226227254,0.000385445290084771,"seleccion_optima_local",0.10466884085183,0.807693216160962,0.319417439920985,0.807693216160962,0.319417439920985,0.10466884085183
33,0.000385445290084771,0.00540201003348284,0.1,0.000540201003348284,0.0586889986580091,0.0571672967233517,1.48945291136188,0.000382535679838208,"seleccion_optima_local",0.104573548651051,0.807979137718624,0.319869603655797,0.807979137718624,0.319869603655797,0.104573548651051
34,0.000382535679838208,0.00537034455477242,0.1,0.000537034455477242,0.0584583435183815,0.0571148637114666,1.48945137958657,0.000379660047439033,"seleccion_optima_local",0.10447813371101,0.808264741025207,0.320318094307321,0.808264741025207,0.320318094307321,0.10447813371101
35,0.000379660047439033,0.00533898468748905,0.1,0.000533898468748905,0.058254970066271,0.0570626735934863,1.4894478071314,0.000376817872232403,"seleccion_optima_local",0.104382736746398,0.80854994670814,0.320763024800696,0.80854994670814,0.320763024800696,0.104382736746398
36,0.000376817872232403,0.00530791343366313,0.1,0.000530791343366313,0.058073560471397,0.0570107124587177,1.4894423243299,0.000374008656387316,"seleccion_optima_local",0.104287474834874,0.808834682291447,0.321204497779194,0.808834682291447,0.321204497779194,0.104287474834874
37,0.000374008656387316,0.00527711680076627,0.1,0.000527711680076627,0.0579100346162032,0.0569589704591915,1.4894350540946,0.000371231921472484,"seleccion_optima_local",0.10419244505526,0.809118881519035,0.321642606886858,0.809118881519035,0.321642606886858,0.10419244505526
38,0.000371231921472484,0.00524658310902449,0.1,0.000524658310902449,0.0577612364776148,0.0569074396024885,1.48942611107026,0.000368487205803373,"seleccion_optima_local",0.104097727577802,0.809402483758175,0.322077437873228,0.809402483758175,0.322077437873228,0.104097727577802
39,0.000368487205803373,0.00521630247441526,0.1,0.000521630247441526,0.0576247042563079,0.0568561140989915,1.48941560322353,0.000365774062364497,"seleccion_optima_local",0.104003388288396,0.809685433472466,0.322509069545903,0.809685433472466,0.322509069545903,0.104003388288396
40,0.000365774062364497,0.00518626642099399,0.1,0.000518626642099399,0.0574984990717681,0.0568049895244106,1.48940363149185,0.000363092057163109,"seleccion_optima_local",0.103909481016465,0.809967679755092,0.322937574592861,0.809967679755092,0.322937574592861,0.103909481016465
41,0.000363092057163109,0.00515646758861016,0.1,0.000515646758861016,0.0573810788970109,0.0567540630924507,1.48939029101728,0.000360440767908699,"seleccion_optima_local",0.103816049425778,0.810249175914468,0.32336302029329,0.810249175914468,0.32336302029329,0.103816049425778
42,0.000360440767908699,0.00512689951115008,0.1,0.000512689951115008,0.0572712037343482,0.056703332772902,1.48937567088038,0.000357819782940244,"seleccion_optima_local",0.103723128618697,0.810529879105482,0.323785469132902,0.810529879105482,0.323785469132902,0.103723128618697
43,0.000357819782940244,0.00509755644707439,0.1,0.000509755644707439,0.0571678659604087,0.05665279762291,1.4893598546765,0.000355228700343548,"seleccion_optima_local",0.103630746496772,0.810809750000485,0.324204979337371,0.810809750000485,0.324204979337371,0.103630746496772
44,0.000355228700343548,0.00506843324886836,0.1,0.000506843324886836,0.0570702374072219,0.0566024571386766,1.48934292112633,0.000352667127215756,"seleccion_optima_local",0.103538924914228,0.811088752494985,0.324621605335543,0.811088752494985,0.324621605335543,0.103538924914228
45,0.000352667127215756,0.00503952526156779,0.1,0.000503952526156779,0.0569776305308552,0.0565523117161802,1.48932494439099,0.000350134679044957,"seleccion_optima_local",0.103447680655432,0.811366853443717,0.32503539816237,0.811366853443717,0.32503539816237,0.103447680655432
46,0.000350134679044957,0.00501082824311715,0.1,0.000501082824311715,0.0568894682091471,0.0565023620045489,1.48930599381811,0.000347630979180756,"seleccion_optima_local",0.103357026262766,0.811644022423331,0.325446405810048,0.811644022423331,0.325446405810048,0.103357026262766
47,0.000347630979180756,0.00498233830121462,0.1,0.000498233830121462,0.056805261154853,0.0564526087795862,1.48928613491922,0.000345155658377563,"seleccion_optima_local",0.103266970737418,0.811920231518475,0.325854673534628,0.811920231518475,0.325854673534628,0.103266970737418
48,0.000345155658377563,0.00495405184268943,0.1,0.000495405184268943,0.0567245911266039,0.0564030532407148,1.48926542906492,0.000342708354396669,"seleccion_optima_local",0.103177520132215,0.812195455128469,0.326260244124302,0.812195455128469,0.326260244124302,0.103177520132215
49,0.000342708354396669,0.00492596553247688,0.1,0.000492596553247688,0.0566470976944502,0.0563536969219041,1.48924393428494,0.000340288711656391,"seleccion_optima_local",0.103088678052772,0.812469669792151,0.326663158134659,0.812469669792151,0.326663158134659,0.103088678052772
50,0.000340288711656391,0.00489807626000445,0.1,0.000489807626000445,0.0565724674151081,0.0563045410550134,1.48922170489044,0.000337896380921967,"seleccion_optima_local",0.103000446080798,0.812742854028805,0.327063454095465,0.812742854028805,0.327063454095465,0.103000446080798
51,0.000337896380921967,0.00487038111135345,0.1,0.000487038111135345,0.0565004265906084,0.0562555872763768,1.48919879223155,0.000335531019028652,"seleccion_optima_local",0.10291282413133,0.813014988193335,0.327461168692827,0.813014988193335,0.327461168692827,0.10291282413133
52,0.000335531019028652,0.00484287734596573,0.1,0.000484287734596573,0.0564307345577082,0.0562068371970467,1.48917524451114,0.000333192288632851,"seleccion_optima_local",0.102825810753898,0.813286054344118,0.327856336930095,0.813286054344118,0.327856336930095,0.102825810753898
53,0.000333192288632851,0.00481556237696474,0.1,0.000481556237696474,0.0563631783991833,0.0561582920903206,1.48915110693177,0.000330879857987137,"seleccion_optima_local",0.102739403386125,0.813556036122145,0.328248992270323,0.813556036122145,0.328248992270323,0.102739403386125
54,0.000330879857987137,0.00478843375438179,0.1,0.000478843375438179,0.0562975697998032,0.0561099538299364,1.48912642253356,0.000328593400735791,"seleccion_optima_local",0.102653598567003,0.813824918640249,0.328639166762746,0.813824918640249,0.328639166762746,0.102653598567003
55,0.000328593400735791,0.00476148915074319,0.1,0.000476148915074319,0.0562337405540423,0.0560618236507581,1.48910123141326,0.00032633259572808,"seleccion_optima_local",0.102568392115986,0.814092688381382,0.329026891155375,0.814092688381382,0.329026891155375,0.102568392115986
56,0.00032633259572808,0.00473472634859647,0.1,0.000473472634859647,0.0561715408625157,0.0560139031422916,1.48907557135854,0.000324097126847039,"seleccion_optima_local",0.102483779283123,0.814359333104994,0.329412194995495,0.814359333104994,0.329412194995495,0.102483779283123
57,0.000324097126847039,0.0047081432296466,0.1,0.00047081432296466,0.0561108362553265,0.0559661934532439,1.48904947818968,0.000321886682851806,"seleccion_optima_local",0.102399754874666,0.814624841760737,0.329795106719617,0.814624841760737,0.329795106719617,0.102399754874666
58,0.000321886682851806,0.00468173776524188,0.1,0.000468173776524188,0.0560515064743041,0.055918696052655,1.48902298550041,0.000319700957231927,"seleccion_optima_local",0.102316313357935,0.814889204408755,0.330175653734225,0.814889204408755,0.330175653734225,0.102316313357935
59,0.000319700957231927,0.00465550800800197,0.1,0.000465550800800197,0.0559934430377754,0.0558714119116151,1.48899612470699,0.000317539648072219,"seleccion_optima_local",0.102233448948626,0.815152412145956,0.33055386248845,0.815152412145956,0.33055386248845,0.102233448948626
60,0.000317539648072219,0.00462945208442066,0.1,0.000462945208442066,0.0559365485808795,0.0558243422226698,1.48896892580996,0.000315402457927094,"seleccion_optima_local",0.102151155683294,0.815414457037698,0.330929758539664,0.815414457037698,0.330929758539664,0.102151155683294
61,0.000315402457927094,0.00460356818830739,0.1,0.000460356818830739,0.0558807351006596,0.0557774878343701,1.48894141663714,0.00031328909370322,"seleccion_optima_local",0.102069427479313,0.815675332054406,0.331303366612852,0.815675332054406,0.331303366612852,0.102069427479313
62,0.00031328909370322,0.0045778545749542,0.1,0.00045778545749542,0.055825923515333,0.055730849850563,1.48891362393178,0.00031119926654975,"seleccion_optima_local",0.101988258184271,0.815935031012681,0.331674710654487,0.815935031012681,0.331674710654487,0.101988258184271
63,0.00031119926654975,0.00455230955593564,0.1,0.000455230955593564,0.055772042006109,0.055684428879786,1.48888557216763,0.00030913269175525,"seleccion_optima_local",0.101907641616467,0.816193548520516,0.332043813881555,0.816193548520516,0.332043813881555,0.101907641616467
64,0.00030913269175525,0.00452693149446172,0.1,0.000452693149446172,0.055719025784777,0.0556382255991288,1.48885728498524,0.000307089088650725,"seleccion_optima_local",0.10182757159791,0.816450879926275,0.332410698826284,0.816450879926275,0.332410698826284,0.10182757159791
65,0.000307089088650725,0.0045017188012182,0.1,0.00045017188012182,0.055666816372255,0.0555922407473395,1.48882878429072,0.000305068180518109,"seleccion_optima_local",0.101748041981034,0.816707021271121,0.332775387377045,0.816707021271121,0.332775387377045,0.101748041981034
66,0.000305068180518109,0.00447666993063633,0.1,0.000447666993063633,0.0556153606137557,0.0555464747555434,1.48880009093732,0.000303069694503695,"seleccion_optima_local",0.10166904667011,0.816961969244614,0.333137900815852,0.816961969244614,0.333137900815852,0.10166904667011
67,0.000303069694503695,0.0044517833775433,0.1,0.00044517833775433,0.0555646104910003,0.0555009281258653,1.48877122454591,0.000301093361536075,"seleccion_optima_local",0.101590579638248,0.817215721143242,0.333498259852831,0.817215721143242,0.333498259852831,0.101590579638248
68,0.000301093361536075,0.00442705767415058,0.1,0.000442705767415058,0.0555145223519356,0.0554556011548236,1.48874220333917,0.000299138916248123,"seleccion_optima_local",0.101512634940689,0.817468274831644,0.33385648465795,0.817468274831644,0.33385648465795,0.101512634940689
69,0.000299138916248123,0.00440249138734275,0.1,0.000440249138734275,0.0554650566389961,0.0554104941128522,1.48871304468884,0.000297206096902705,"seleccion_optima_local",0.10143520672501,0.817719628706332,0.33421259489032,0.817719628706332,0.33421259489032,0.10143520672501
70,0.000297206096902705,0.00437808311623452,0.1,0.000437808311623452,0.0554161774490784,0.0553656072007328,1.48868376496647,0.000295294645321758,"seleccion_optima_local",0.101358289238764,0.817969781661721,0.334566609725286,0.817969781661721,0.334566609725286,0.101358289238764
71,0.000295294645321758,0.00435383148996707,0.1,0.000435383148996707,0.0553678519214925,0.0553209402969036,1.48865437933804,0.000293404306818452,"seleccion_optima_local",0.101281876834992,0.818218733058307,0.334918547879533,0.818218733058307,0.334918547879533,0.101281876834992
72,0.000293404306818452,0.00432973516571826,0.1,0.000432973516571826,0.0553200506899171,0.055276493733366,1.48862490241116,0.000291534830132187,"seleccion_optima_local",0.101205963975971,0.818466482692833,0.335268427634388,0.818466482692833,0.335268427634388,0.101205963975971
73,0.000291534830132187,0.00430579282690455,0.1,0.000430579282690455,0.0552727465956609,0.0552322672980572,1.48859534765131,0.000289685967366182,"seleccion_optima_local",0.101130545235518,0.81871303077031,0.335616266857497,0.81871303077031,0.335616266857497,0.101130545235518
74,0.000289685967366182,0.00428200318155442,0.1,0.000428200318155442,0.05522591514278,0.0551882609600644,1.48856572785567,0.000287857473927432,"seleccion_optima_local",0.101055615300109,0.818958377877757,0.335962083023009,0.818958377877757,0.335962083023009,0.101055615300109
75,0.000287857473927432,0.0042583649608356,0.1,0.00042583649608356,0.055179533959046,0.0551444745550518,1.48853605514331,0.000286049108468878,"seleccion_optima_local",0.100981168969037,0.819202524959557,0.336305893230401,0.819202524959557,0.336305893230401,0.100981168969037
76,0.000286049108468878,0.00423487691772055,0.1,0.000423487691772055,0.0551335825922552,0.0551009078001821,1.48850634075675,0.000284260632833601,"seleccion_optima_local",0.100907201153787,0.819445473294301,0.336647714222075,0.819445473294301,0.336647714222075,0.100907201153787
77,0.000284260632833601,0.00421153782577573,0.1,0.000421153782577573,0.0550880425376394,0.0550575605182983,1.48847659530978,0.000282491812000877,"seleccion_optima_local",0.100833706876797,0.819687224473048,0.336987562399805,0.819687224473048,0.336987562399805,0.100833706876797
