"iter","loss","grad_norm","eta","speed","regimen","accion_eta","reduccion_relativa","b","w1","w2","theta1","theta2","theta3"
0,0.000569274695467809,0.0153395460868169,0.1,0.00153395460868169,"Ajuste inicial","mantener_otro_regimen",NA,0.1,0.8,0.3,0.8,0.3,0.1
1,0.000547172273905477,0.0135047360714771,0.1,0.00135047360714771,"Descenso dirigido","mantener_descenso",0.0388255822706882,0.101147167488555,0.800075264531154,0.301015558341528,0.800075264531154,0.301015558341528,0.101147167488555
2,0.000529974770655331,0.0119919023025169,0.1,0.00119919023025169,"Descenso dirigido","mantener_descenso",0.03142977822317,0.102102890617614,0.800178234199069,0.301964120153787,0.800178234199069,0.301964120153787,0.102102890617614
3,0.000516353154747911,0.0107542597840207,0.1,0.00107542597840207,"Descenso dirigido","mantener_descenso",0.0257023855397376,0.102895961630282,0.800305486067258,0.302854570904384,0.800305486067258,0.302854570904384,0.102895961630282
4,0.000505342430709379,0.00975032445192621,0.1,0.000975032445192622,"Descenso dirigido","mantener_descenso",0.0213240180987833,0.103550882174677,0.800453994708472,0.303694550248794,0.800453994708472,0.303694550248794,0.103550882174677
5,0.000496241907252418,0.00894303645428392,0.1,0.000894303645428393,"Descenso dirigido","mantener_descenso",0.0180086271920162,0.104088500942974,0.800621095357513,0.304490622922765,0.800621095357513,0.304490622922765,0.104088500942974
6,0.000488542755704302,0.00829924032188235,0.1,0.000829924032188235,"Descenso dirigido","mantener_descenso",0.0155149160521923,0.104526556735012,0.800804446857797,0.305248427884897,0.800804446857797,0.305248427884897,0.104526556735012
7,0.000481875405952668,0.00778946579326711,0.1,0.000778946579326711,"Descenso dirigido","mantener_descenso",0.0136474231991709,0.104880140920843,0.801001996000161,0.305972807936448,0.801001996000161,0.305972807936448,0.104880140920843
8,0.000475971356590603,0.00738788956266869,0.1,0.000738788956266869,"Descenso dirigido","mantener_descenso",0.0122522321680654,0.105162091235277,0.801211944171568,0.306667921998281,0.801211944171568,0.306667921998281,0.105162091235277
9,0.00047063545492771,0.00707233409761329,0.1,0.00070723340976133,"Descenso dirigido","mantener_descenso",0.0112105520170457,0.105383327083555,0.801432716778719,0.3073373421035,0.801432716778719,0.3073373421035,0.105383327083555
10,0.000465725779648662,0.00682418835375564,0.1,0.000682418835375564,"Descenso dirigido","mantener_descenso",0.0104320131796487,0.105553135035186,0.801662935616442,0.307984137003142,0.801662935616442,0.307984137003142,0.105553135035186
11,0.000461139042753742,0.00662819725888055,0.1,0.000662819725888055,"Descenso dirigido","mantener_descenso",0.00984857846720795,0.105679411899158,0.801901394163581,0.308610944104088,0.801901394163581,0.308610944104088,0.105679411899158
12,0.000456799997504736,0.00647212812643321,0.098,0.000634268556390455,"Refinamiento","reducir_refinamiento",0.00940940765649687,0.105768871678042,0.802147035675523,0.309220031277323,0.802147035675523,0.309220031277323,0.105768871678042
13,0.000452735843499853,0.00634875676169258,0.09604,0.000609734599392955,"Refinamiento","reducir_refinamiento",0.00889700967203715,0.10582605476267,0.802393895914402,0.309801483527227,0.802393895914402,0.309801483527227,0.10582605476267
14,0.000448896361903198,0.00624932974635504,0.0941192,0.000588181916263139,"Refinamiento","reducir_refinamiento",0.00848062207421766,0.105857379486092,0.802640942615887,0.310358047064197,0.802640942615887,0.310358047064197,0.105857379486092
15,0.000445245572805515,0.00616751959960017,0.092236816,0.000568872370484715,"Refinamiento","reducir_refinamiento",0.00813281059813483,0.105867993028389,0.802887336607988,0.310892027700546,0.802887336607988,0.310892027700546,0.105867993028389
16,0.000441757233520533,0.00609876217600499,0.09039207968,0.000551279796562813,"Refinamiento","reducir_refinamiento",0.0078346411288638,0.105862034815244,0.803132395976634,0.311405375710609,0.803132395976634,0.311405375710609,0.105862034815244
17,0.000438411824665592,0.00603976419479391,0.0885842380864,0.000535027909417338,"Refinamiento","reducir_refinamiento",0.00757295770961615,0.105842842624984,0.803375567310317,0.311899752870687,0.803375567310317,0.311899752870687,0.105842842624984
18,0.000435194516769449,0.00598814395950876,0.086812553324672,0.000519846066800667,"Refinamiento","reducir_refinamiento",0.00733855180858425,0.105813114445089,0.803616402551026,0.312376585635929,0.803616402551026,0.312376585635929,0.105813114445089
19,0.000432093787769296,0.00594217241771983,0.0850763022581786,0.000505538056680144,"Refinamiento","reducir_refinamiento",0.00712492660993491,0.105775036023989,0.803854540294451,0.312837107494445,0.803854540294451,0.312837107494445,0.105775036023989
20,0.000429100475666402,0.00590058790909012,0.083374776213015,0.000491960196445611,"Refinamiento","reducir_refinamiento",0.00692745922458147,0.105730381732199,0.804089690630293,0.313282392841756,0.804089690630293,0.313282392841756,0.105730381732199
21,0.000426207124172371,0.0058624641392734,0.0817072806887547,0.00047900600295537,"Refinamiento","reducir_refinamiento",0.00674282982976115,0.105680594583402,0.804321622807495,0.313713384187238,0.804321622807495,0.313713384187238,0.105680594583402
22,0.000423407527013479,0.00582711620409229,0.0800731350749796,0.000466595462907885,"Refinamiento","reducir_refinamiento",0.00656863058720588,0.105626849927357,0.804550155160827,0.314130914097896,0.804550155160827,0.314130914097896,0.105626849927357
23,0.000420696407877463,0.00579403365461334,0.07847167237348,0.000454667510665735,"Refinamiento","reducir_refinamiento",0.00640309620552813,0.105570106306494,0.804775146853765,0.3145357229733,0.804775146853765,0.3145357229733,0.105570106306494
24,0.000418069193626582,0.00576283272571624,0.0769022389260104,0.000443174739163662,"Refinamiento","reducir_refinamiento",0.00624491722639558,0.105511146187959,0.804996491085277,0.314928473505895,0.804996491085277,0.314928473505895,0.105511146187959
25,0.000415521852092071,0.00573322213818312,0.0753641941474902,0.000432079666312721,"Refinamiento","reducir_refinamiento",0.00609310986614576,0.105450608684295,0.805214109480736,0.315309762496086,0.805214109480736,0.315309762496086,0.105450608684295
