"iter","loss","grad_norm","eta","speed","kappa","lambda_min","lambda_max","costo_local","accion_eta","b","w1","w2","theta1","theta2","theta3"
11,0.000493287566103836,0.0087574792556637,0.0581340480651453,0.000509107719978267,0.720162337361051,0.0591725521879472,1.48768246195251,NA,"ajuste_por_curvatura",0.104179901313375,0.800726821050749,0.304805225539861,0.800726821050749,0.304805225539861,0.104179901313375
12,0.000488922398762946,0.00839849651988281,0.0602336866768693,0.000505872407935398,0.660200554159365,0.0590908340746189,1.4877913172345,NA,"ajuste_por_curvatura",0.104421525373364,0.800835871342271,0.30523987081833,0.800835871342271,0.30523987081833,0.104421525373364
13,0.000484758308568282,0.00807223168236787,0.0625125762846486,0.000504615998831379,0.5996781118835,0.0590109194035981,1.48789781578567,NA,"ajuste_por_curvatura",0.104643506109895,0.800953643130168,0.305678916660691,0.800953643130168,0.305678916660691,0.104643506109895
14,0.000480761283352458,0.00777731050193279,0.0649568189162459,0.000505189349929466,0.539484255362599,0.0589326375588494,1.48800202794628,NA,"ajuste_por_curvatura",0.104846075283648,0.801080635529561,0.306123299341067,0.801080635529561,0.306123299341067,0.104846075283648
15,0.000476901112668446,0.00751233298773987,0.0675405351754874,0.000507386990408419,0.48059235450496,0.058855851255286,1.48810395434947,NA,"ajuste_por_curvatura",0.105029325812914,0.801217339339008,0.306573796390213,0.801217339339008,0.306573796390213,0.105029325812914
16,0.000473151315414348,0.00727582270059846,0.0702244232080886,0.000510940452513845,0.424006000073231,0.0587804597834501,1.48820351817618,NA,"ajuste_por_curvatura",0.105193242869379,0.801364201097862,0.307030966359066,0.801364201097862,0.307030966359066,0.105193242869379
17,0.000469489148769159,0.00706617706061678,0.0729559956950971,0.000515519983215151,0.370689263401012,0.0587064016887889,1.48830056308953,NA,"ajuste_por_curvatura",0.105337751245093,0.801521579830014,0.307495088552061,0.801521579830014,0.307495088552061,0.105337751245093
18,0.000465895650054863,0.00688162690070678,0.0756722309850693,0.00052074806038335,0.321488724440155,0.0586336525786192,1.488394855478,NA,"ajuste_por_curvatura",0.10546277885626,0.801689700590612,0.307966113349068,0.801689700590612,0.307966113349068,0.10546277885626
19,0.000462355645535693,0.00672021529425399,0.0783048841061967,0.000526225679785249,0.277059549240639,0.0585622215352739,1.48848609682731,NA,"ajuste_por_curvatura",0.105568331825789,0.801868611717903,0.30844363604125,0.801868611717903,0.30844363604125,0.105568331825789
20,0.00045885765491333,0.0065798047695252,0.0807878354320502,0.000531568184895421,0.237810116649418,0.058492141221481,1.48857394396702,NA,"ajuste_por_curvatura",0.105654571390553,0.80205815445426,0.308926905898192,0.80205815445426,0.308926905898192,0.105654571390553
21,0.000455393636516706,0.00645811736138305,0.0830649285776252,0.000536443057369204,0.203877517411561,0.058423456065342,1.48865803733174,NA,"ajuste_por_curvatura",0.105721878994244,0.802257952958529,0.309414876163034,0.802257952958529,0.309414876163034,0.105721878994244
22,0.000451958557133859,0.00635280419564995,0.0850962920946439,0.000540600081453107,0.175139333788835,0.0583562093584482,1.48873803368594,NA,"ajuste_por_curvatura",0.10577089579814,0.802467429004838,0.309906290746414,0.802467429004838,0.309906290746414,0.10577089579814
23,0.000448549820347633,0.00626153317226835,0.0868615238588434,0.000543886313035927,0.151257720996325,0.0582904294885802,1.48881363452772,NA,"ajuste_por_curvatura",0.105802527678886,0.802685839727516,0.310399793156141,0.802685839727516,0.310399793156141,0.105802527678886
