"politica","metodo","activation","T_configurado","loss_inicial","loss_final","delta_loss","reduccion_abs","reduccion_rel","eta_min_obs","eta_max_obs","eta_media","eta_cambios","velocidad_media","grad_norm_inicial","grad_norm_final","kappa_inicial","kappa_final","lambda_max_inicial","lambda_max_final","costo_acumulado","descendente_global"
"opt_local","opt_local","tanh",100,0.000569274695467809,0.000248111289482336,-0.000321163405985474,0.000321163405985474,0.564162448361688,0.1,0.1,0.1,0,0.00053716979867226,0.0153395460868169,0.00371327012265456,1.21334604580483,0.0541280672571092,1.4862618535032,1.48780078545199,0.0354945206244635,TRUE
"opt_local_penalizada","opt_local","tanh",100,0.000569274695467809,0.000466490728366582,-0.000102783967101228,0.000102783967101228,0.180552495868033,0.01,0.01,0.01,0,9.8481313186372e-05,0.0153395460868169,0.00696471315954042,1.21334604580483,0.348078407362293,1.4862618535032,1.48836362178549,0.0509235534133689,TRUE
"curvatura","curvatura","tanh",100,0.000569274695467809,0.000268152693799794,-0.000301122001668016,0.000301122001668016,0.52895729261348,0.0451804633936658,0.0948162375581817,0.086649899275179,100,0.00048501256884973,0.0153395460868169,0.00399612360934283,1.21334604580483,0.0546716741279403,1.4862618535032,1.4881924572065,0,TRUE
"lambda_max","lambda_max","tanh",100,0.000569274695467809,0.000365478258022342,-0.000203796437445467,0.000203796437445467,0.35799314297291,0.0401698154621451,0.040221024933113,0.0401805566731844,100,0.000272877652592281,0.0153395460868169,0.00518322639697225,1.21334604580483,0.0575473936970761,1.4862618535032,1.48938498550848,0,TRUE
