"politica","activation","T_configurado","loss_inicial","loss_final","delta_loss","reduccion_abs","reduccion_rel","eta_min_obs","eta_max_obs","eta_media","eta_cambios","velocidad_media","grad_norm_inicial","grad_norm_final","descendente_global"
"constante","tanh",100,0.000569274695467809,0.000248111289482336,-0.000321163405985474,0.000321163405985474,0.564162448361688,0.1,0.1,0.1,0,0.00053716979867226,0.0153395460868169,0.00371327012265456,TRUE
"temporal","tanh",100,0.000569274695467809,0.000298148874939208,-0.000271125820528601,0.000271125820528601,0.476265364835512,0.05,0.1,0.0693716267803786,100,0.000413278644228904,0.0153395460868169,0.00439001307102456,TRUE
"mejora","tanh",100,0.000569274695467809,0.000386984360640204,-0.000182290334827606,0.000182290334827606,0.320215067135219,0.01,0.1,0.0322883117428298,45,0.000232173874431975,0.0153395460868169,0.00541912788594237,TRUE
"regimen","tanh",100,0.000569274695467809,0.000333961709159499,-0.00023531298630831,0.00023531298630831,0.413355780929168,0.0165623034205629,0.1,0.0523608626969546,89,0.000334986255242088,0.0153395460868169,0.00482460635809795,TRUE
"inestabilidad","tanh",100,0.000569274695467809,0.000248111289482336,-0.000321163405985474,0.000321163405985474,0.564162448361688,0.1,0.1,0.1,0,0.00053716979867226,0.0153395460868169,0.00371327012265456,TRUE
