"caso","x_1","x_2","w_1","w_2","b","z","y_hat"
"tanh",0.5,-0.2,0.8,0.3,0.1,0.44,0.413644442187135
"sigmoid",0.5,-0.2,0.8,0.3,0.1,0.44,0.608259030746514
