"iter","time","loss","grad_norm","speed","delta_loss","reduccion_relativa","delta_grad","delta_speed","loss_suav","grad_suav","speed_suav"
0,0,0.000569274695467809,0.0153395460868169,0.00153395460868169,NA,NA,NA,NA,0.000569274695467809,0.0153395460868169,0.00153395460868169
1,1,0.000547172273905477,0.0135047360714771,0.00135047360714771,-2.2102421562332e-05,0.0388255822706882,-0.00183481001533974,-0.000183481001533974,0.000558223484686643,0.014422141079147,0.0014422141079147
2,2,0.000529974770655331,0.0119919023025169,0.00119919023025169,-1.71975032501466e-05,0.03142977822317,-0.0015128337689602,-0.00015128337689602,0.000548807246676206,0.013612061486937,0.0013612061486937
5,5,0.000496241907252418,0.00894303645428392,0.000894303645428393,-9.1005234569611e-06,0.0180086271920162,-0.00080728799764229,-8.0728799764229e-05,0.000519016907454103,0.010988851812845,0.0010988851812845
10,10,0.000465725779648662,0.00682418835375564,0.000682418835375564,-4.90967527904784e-06,0.0104320131796487,-0.000248145743857655,-2.48145743857655e-05,0.000476550150564789,0.00747462362583742,0.000747462362583742
25,25,0.000410020727513826,0.00567052524002788,0.000567052524002788,-3.2465838346353e-06,0.00785589311718374,-3.65487254420527e-05,-3.65487254420514e-06,0.000416601375303786,0.00574625262126872,0.000574625262126872
50,50,0.000340288711656391,0.00489807626000445,0.000489807626000445,-2.41964274027786e-06,0.00706035526177131,-2.78892724724315e-05,-2.78892724724317e-06,0.000345183676531267,0.00495425203590051,0.000495425203590051
75,75,0.000287857473927432,0.0042583649608356,0.00042583649608356,-1.82849343875036e-06,0.00631198483331103,-2.36382207188185e-05,-2.36382207188178e-06,0.000291555444713202,0.00430594552499598,0.000430594552499598
100,100,0.000248111289482336,0.00371327012265456,0.000371327012265456,-1.39011758305168e-06,0.00557158211583065,-2.02159725668557e-05,-2.02159725668568e-06,0.000250922073702222,0.00375395254028542,0.000375395254028542
