"w1","w2","loss"
0.7,0.2,0.00289323373192414
0.705,0.2,0.00279656227326245
0.71,0.2,0.00271175061961198
0.715,0.2,0.00263868674673386
0.72,0.2,0.00257725893445888
0.725,0.2,0.00252735577528218
0.73,0.2,0.00248886618272593
0.735,0.2,0.00246167939947422
0.74,0.2,0.00244568500528426
0.745,0.2,0.0024407729246781
0.75,0.2,0.00244683343441885
0.755,0.2,0.00246375717077564
0.76,0.2,0.0024914351365812
0.765,0.2,0.00252975870808625
0.77,0.2,0.00257861964161457
0.775,0.2,0.0026379100800228
0.78,0.2,0.00270752255896878
0.785,0.2,0.00278735001299252
0.79,0.2,0.00287728578141329
0.795,0.2,0.00297722361404718
0.8,0.2,0.00308705767674818
0.805,0.2,0.00320668255677724
0.81,0.2,0.00333599326800234
0.815,0.2,0.00347488525593363
0.82,0.2,0.00362325440259698
0.825,0.2,0.00378099703124954
0.83,0.2,0.00394800991094074
0.835,0.2,0.0041241902609222
0.84,0.2,0.00430943575490987
0.845,0.2,0.00450364452520165
0.85,0.2,0.00470671516665396
0.855,0.2,0.00491854674052009
0.86,0.2,0.00513903877815392
0.865,0.2,0.00536809128458165
0.87,0.2,0.00560560474194494
0.875,0.2,0.00585148011281812
0.88,0.2,0.00610561884340271
0.885,0.2,0.00636792286660171
0.89,0.2,0.0066382946049769
0.895,0.2,0.00691663697359146
0.9,0.2,0.00720285338274095
0.7,0.20625,0.00279364853376272
0.705,0.20625,0.0026896256998503
0.71,0.20625,0.00259748124851522
0.715,0.20625,0.00251710402876111
0.72,0.20625,0.00244838318527114
0.725,0.20625,0.00239120816682715
0.73,0.20625,0.00234546873450192
0.735,0.20625,0.00231105496962878
0.74,0.20625,0.00228785728155264
0.745,0.20625,0.00227576641516658
0.75,0.20625,0.00227467345823815
0.755,0.20625,0.00228446984852942
0.76,0.20625,0.00230504738071477
0.765,0.20625,0.00233629821310057
0.77,0.20625,0.00237811487415052
0.775,0.20625,0.00243039026882086
0.78,0.20625,0.00249301768470908
0.785,0.20625,0.00256589079802018
0.79,0.20625,0.00264890367935422
0.795,0.20625,0.00274195079931898
0.8,0.20625,0.00284492703397139
0.805,0.20625,0.0029577276700915
0.81,0.20625,0.00308024841029254
0.815,0.20625,0.00321238537797075
0.82,0.20625,0.0033540351220984
0.825,0.20625,0.00350509462186359
0.83,0.20625,0.00366546129116016
0.835,0.20625,0.00383503298293119
0.84,0.20625,0.00401370799336931
0.845,0.20625,0.0042013850659771
0.85,0.20625,0.00439796339549089
0.855,0.20625,0.00460334263167091
0.86,0.20625,0.00481742288296115
0.865,0.20625,0.00504010472002166
0.87,0.20625,0.00527128917913655
0.875,0.20625,0.00551087776550035
0.88,0.20625,0.00575877245638591
0.885,0.20625,0.00601487570419618
0.89,0.20625,0.00627909043940321
0.895,0.20625,0.00655132007337637
0.9,0.20625,0.00683146850110312
0.7,0.2125,0.00270642157370848
0.705,0.2125,0.00259497955009127
0.71,0.2125,0.00249543373913314
0.715,0.2125,0.00240767387549522
0.72,0.2125,0.00233158998119641
0.725,0.2125,0.00226707237385403
0.73,0.2125,0.00221401167470263
0.735,0.2125,0.00217229881639517
0.74,0.2125,0.00214182505059086
0.745,0.2125,0.00212248195533359
0.75,0.2125,0.00211416144222513
0.755,0.2125,0.00211675576339721
0.76,0.2125,0.00213015751828645
0.765,0.2125,0.00215425966021615
0.77,0.2125,0.00218895550278888
0.775,0.2125,0.0022341387260939
0.78,0.2125,0.00228970338273315
0.785,0.2125,0.00235554390366978
0.79,0.2125,0.00243155510390287
0.795,0.2125,0.00251763218797226
0.8,0.2125,0.00261367075529707
0.805,0.2125,0.00271956680535162
0.81,0.2125,0.00283521674268229
0.815,0.2125,0.00296051738176896
0.82,0.2125,0.00309536595173452
0.825,0.2125,0.00323966010090571
0.83,0.2125,0.00339329790122902
0.835,0.2125,0.00355617785254462
0.84,0.2125,0.0037281988867219
0.845,0.2125,0.00390926037165958
0.85,0.2125,0.00409926211515382
0.855,0.2125,0.00429810436863712
0.86,0.2125,0.0045056878307914
0.865,0.2125,0.00472191365103792
0.87,0.2125,0.00494668343290725
0.875,0.2125,0.00517989923729186
0.88,0.2125,0.00542146358558452
0.885,0.2125,0.00567127946270481
0.89,0.2125,0.00592925032001683
0.895,0.2125,0.00619528007814045
0.9,0.2125,0.0064692731296589
0.7,0.21875,0.00263162701622076
0.705,0.21875,0.00251269925497793
0.71,0.21875,0.00240568477214784
0.715,0.21875,0.00231047420028744
0.72,0.21875,0.00222695845106403
0.725,0.21875,0.00215502872331434
0.73,0.21875,0.00209457651088678
0.735,0.21875,0.00204549361027133
0.74,0.21875,0.00200767212802094
0.745,0.21875,0.00198100448796882
0.75,0.21875,0.00196538343824546
0.755,0.21875,0.00196070205809965
0.76,0.21875,0.00196685376452739
0.765,0.21875,0.00198373231871274
0.77,0.21875,0.00201123183228451
0.775,0.21875,0.0020492467733928
0.78,0.21875,0.00209767197260916
0.785,0.21875,0.00215640262865415
0.79,0.21875,0.00222533431395625
0.795,0.21875,0.00230436298004568
0.8,0.21875,0.00239338496278686
0.805,0.21875,0.00249229698745316
0.81,0.21875,0.0026009961736475
0.815,0.21875,0.00271938004007226
0.82,0.21875,0.00284734650915209
0.825,0.21875,0.00298479391151287
0.83,0.21875,0.00313162099032033
0.835,0.21875,0.0032877269054815
0.84,0.21875,0.00345301123771228
0.845,0.21875,0.00362737399247433
0.85,0.21875,0.00381071560378433
0.855,0.21875,0.00400293693789872
0.86,0.21875,0.00420393929687693
0.865,0.21875,0.00441362442202601
0.87,0.21875,0.00463189449722948
0.875,0.21875,0.00485865215216337
0.88,0.21875,0.00509380046540205
0.885,0.21875,0.00533724296741664
0.89,0.21875,0.0055888836434686
0.895,0.21875,0.00584862693640105
0.9,0.21875,0.00611637774933044
0.7,0.225,0.0025693372618501
0.705,0.225,0.00244285850540169
0.71,0.225,0.00232830931218316
0.715,0.225,0.00222558122470131
0.72,0.225,0.00213456605640602
0.725,0.225,0.00205515589956463
0.73,0.225,0.00198724313292482
0.735,0.225,0.00193072042916996
0.74,0.225,0.00188548076217125
0.745,0.225,0.00185141741404062
0.75,0.225,0.00182842398198861
0.755,0.225,0.0018163943849912
0.76,0.225,0.0018152228702696
0.765,0.225,0.00182480401958708
0.77,0.225,0.00184503275536664
0.775,0.225,0.00187580434663354
0.78,0.225,0.00191701441478642
0.785,0.225,0.00196855893920095
0.79,0.225,0.00203033426266959
0.795,0.225,0.00210223709668137
0.8,0.225,0.00218416452654511
0.805,0.225,0.00227601401635993
0.81,0.225,0.00237768341383633
0.815,0.225,0.00248907095497155
0.82,0.225,0.00261007526858249
0.825,0.225,0.00274059538069969
0.83,0.225,0.00288053071882557
0.835,0.225,0.00302978111606023
0.84,0.225,0.00318824681509803
0.845,0.225,0.0033558284720981
0.85,0.225,0.00353242716043177
0.855,0.225,0.00371794437430999
0.86,0.225,0.00391228203229377
0.865,0.225,0.00411534248069034
0.87,0.225,0.00432702849683808
0.875,0.225,0.00454724329228282
0.88,0.225,0.00477589051584826
0.885,0.225,0.00501287425660327
0.89,0.225,0.00525809904672842
0.895,0.225,0.00551146986428453
0.9,0.225,0.00577289213588547
0.7,0.23125,0.00251962291379447
0.705,0.23125,0.00238552921834898
0.71,0.23125,0.00226338057365202
0.715,0.23125,0.00215306944402237
0.72,0.23125,0.00205448855664036
0.725,0.23125,0.00196753090923485
0.73,0.23125,0.00189208977756355
0.735,0.23125,0.00182805872269096
0.74,0.23125,0.00177533159806813
0.745,0.23125,0.00173380255641822
0.75,0.23125,0.00170336605643209
0.755,0.23125,0.00168391686927792
0.76,0.23125,0.00167535008492877
0.765,0.23125,0.00167756111831231
0.77,0.23125,0.0016904457152863
0.775,0.23125,0.00171389995844404
0.78,0.23125,0.00174782027275334
0.785,0.23125,0.00179210343103303
0.79,0.23125,0.00184664655927053
0.795,0.23125,0.00191134714178435
0.8,0.23125,0.00198610302623501
0.805,0.23125,0.00207081242848803
0.81,0.23125,0.00216537393733247
0.815,0.23125,0.00226968651905849
0.82,0.23125,0.00238364952189733
0.825,0.23125,0.00250716268032701
0.83,0.23125,0.00264012611924719
0.835,0.23125,0.00278244035802609
0.84,0.23125,0.00293400631442306
0.845,0.23125,0.00309472530838946
0.85,0.23125,0.00326449906575124
0.855,0.23125,0.00344322972177592
0.86,0.23125,0.00363081982462714
0.865,0.23125,0.00382717233870932
0.87,0.23125,0.00403219064790559
0.875,0.23125,0.00424577855871125
0.88,0.23125,0.00446784030326594
0.885,0.23125,0.00469828054228659
0.89,0.23125,0.00493700436790416
