"iter","time","loss","grad_norm","speed","eta","b","w1","w2","theta1","theta_dot1","theta2","theta_dot2","theta3","theta_dot3","loss_suav","grad_suav","speed_suav","delta_loss","reduccion_relativa","delta_grad","delta_speed","delta_loss_suav","delta_grad_suav","delta_speed_suav","regimen"
13,13,0.000452653753512535,0.00634635896496478,0.000634635896496478,0.1,0.105827221764397,0.802398933878461,0.309813349899674,0.802398933878461,0.000257342160886363,0.309813349899674,0.000579230428554502,0.105827221764397,3.20911824150047e-05,0.000461390805669477,0.00666864136032949,0.00066686413603295,-4.14624399220162e-06,0.00907671629985487,-0.000125769161468428,-1.25769161468428e-05,-4.66352061561379e-06,-0.000208306119540783,-2.08306119540782e-05,"Refinamiento"
14,14,0.00044866020122623,0.00624344229275695,0.000624344229275695,0.1,0.105859312946812,0.802656276039348,0.310392580328229,0.802656276039348,0.00026207213635836,0.310392580328229,0.000566590528081945,0.105859312946812,9.95416808426295e-06,0.000456995754929181,0.00650286299935823,0.000650286299935823,-3.99355228630451e-06,0.00882253211531448,-0.00010291667220783,-1.0291667220783e-05,-4.395050740296e-06,-0.000165778360971269,-1.65778360971269e-05,"Refinamiento"
15,15,0.000444789966811807,0.00615768812144281,0.000615768812144281,0.1,0.105869267114897,0.802918348175706,0.310959170856311,0.802918348175706,0.000266173997502531,0.310959170856311,0.000555200207920776,0.105869267114897,-8.68113977701601e-06,0.00045280859236181,0.00636956295289566,0.000636956295289566,-3.87023441442288e-06,0.00862620396286313,-8.57541713141395e-05,-8.57541713141397e-06,-4.18716256737103e-06,-0.000133300046462566,-1.33300046462566e-05,"Refinamiento"
16,16,0.000441021477240442,0.00608479313693035,0.000608479313693035,0.1,0.10586058597512,0.803184522173208,0.311514371064231,0.803184522173208,0.000269722417518936,0.311514371064231,0.000544889292738047,0.10586058597512,-2.43423774417948e-05,0.00044878507925915,0.00626088212850562,0.000626088212850562,-3.76848957136486e-06,0.00847251476894669,-7.2894984512465e-05,-7.28949845124648e-06,-4.02351310266e-06,-0.00010868082439004,-1.08680824390041e-05,"Refinamiento"
17,17,0.000437338830715395,0.00602152776083234,0.000602152776083234,0.1,0.105836243597678,0.803454244590727,0.312059260356969,0.803454244590727,0.000272782358140883,0.312059260356969,0.000535512016889216,0.105836243597678,-3.74784017680694e-05,0.000444892845901282,0.00617076205538545,0.000617076205538545,-3.68264652504712e-06,0.00835026570528921,-6.3265376098005e-05,-6.3265376098005e-06,-3.89223335786821e-06,-9.01200731201739e-05,-9.01200731201729e-06,"Refinamiento"
18,18,0.000433730251260302,0.00596548194661243,0.000596548194661243,0.1,0.10579876519591,0.803727026948868,0.312594772373859,0.803727026948868,0.000275410367488595,0.312594772373859,0.000526943487451572,0.10579876519591,-4.84710126339388e-05,0.000441108145450835,0.00609458665171498,0.000609458665171498,-3.60857945509317e-06,0.00825122123489256,-5.60458142199148e-05,-5.60458142199148e-06,-3.78470045044651e-06,-7.61754036704707e-05,-7.61754036704713e-06,"Refinamiento"
19,19,0.000430186967027353,0.0059148643879006,0.00059148643879006,0.1,0.105750294183276,0.804002437316357,0.31312171586131,0.804002437316357,0.000277655711177783,0.31312171586131,0.000519076656108166,0.105750294183276,-5.76449339185337e-05,0.00043741349861106,0.00602887107074371,0.000602887107074371,-3.54328423294865e-06,0.00816932693646225,-5.06175587118218e-05,-5.06175587118227e-06,-3.69464683977537e-06,-6.57155809712694e-05,-6.57155809712692e-06,"Refinamiento"
20,20,0.000426702395952059,0.00586834714800991,0.000586834714800991,0.1,0.105692649249357,0.804280093027534,0.313640792517418,0.804280093027534,0.000279561355107561,0.313640792517418,0.000511819728400203,0.105692649249357,-6.52763115251362e-05,0.00043379598443911,0.00597100287605713,0.000597100287605713,-3.48457107529431e-06,0.00810013165036822,-4.65172398906918e-05,-4.65172398906916e-06,-3.61751417194962e-06,-5.78681946865793e-05,-5.786819468658e-06,"Refinamiento"
21,21,0.000423271554351193,0.00582494724290092,0.000582494724290092,0.1,0.105627372937832,0.804559654382642,0.314152612245819,0.804559654382642,0.000281164817313945,0.314152612245819,0.000505093948384595,0.105627372937832,-7.1599948574465e-05,0.00043024599986126,0.00591903369725124,0.000591903369725124,-3.4308416008661e-06,0.00804036167917652,-4.3399905108996e-05,-4.33999051089944e-06,-3.54998457784985e-06,-5.19691788058866e-05,-5.19691788058855e-06,"Refinamiento"
22,22,0.000419890627251184,0.00578393738756875,0.000578393738756875,0.1,0.105555772989258,0.804840819199956,0.314657706194203,0.804840819199956,0.000282498904924783,0.314657706194203,0.000498831705138407,0.105555772989258,-7.68154652278019e-05,0.000426756359168418,0.00587151562259852,0.000587151562259852,-3.38092710000894e-06,0.0079876076180072,-4.10098553321678e-05,-4.10098553321693e-06,-3.48964069284222e-06,-4.75180746527179e-05,-4.75180746527183e-06,"Refinamiento"
