"iter","loss","grad_norm","b","w1","w2"
0,0.000569274695467809,0.0153395460868169,0.1,0.8,0.3
1,0.000547172273905477,0.0135047360714771,0.101147167488555,0.800075264531154,0.301015558341528
2,0.000529974770655331,0.0119919023025169,0.102102890617614,0.800178234199069,0.301964120153787
3,0.000516353154747911,0.0107542597840207,0.102895961630282,0.800305486067258,0.302854570904384
4,0.000505342430709379,0.00975032445192621,0.103550882174677,0.800453994708472,0.303694550248794
5,0.000496241907252418,0.00894303645428392,0.104088500942974,0.800621095357513,0.304490622922765
6,0.000488542755704302,0.00829924032188235,0.104526556735012,0.800804446857797,0.305248427884897
7,0.000481875405952668,0.00778946579326711,0.104880140920843,0.801001996000161,0.305972807936448
8,0.000475971356590603,0.00738788956266869,0.105162091235277,0.801211944171568,0.306667921998281
9,0.00047063545492771,0.00707233409761329,0.105383327083555,0.801432716778719,0.3073373421035
10,0.000465725779648662,0.00682418835375564,0.105553135035186,0.801662935616442,0.307984137003142
11,0.000461139042753742,0.00662819725888055,0.105679411899158,0.801901394163581,0.308610944104088
12,0.000456799997504736,0.00647212812643321,0.105768871678042,0.802147035675523,0.309220031277323
13,0.000452653753512535,0.00634635896496478,0.105827221764397,0.802398933878461,0.309813349899674
14,0.00044866020122623,0.00624344229275695,0.105859312946812,0.802656276039348,0.310392580328229
15,0.000444789966811807,0.00615768812144281,0.105869267114897,0.802918348175706,0.310959170856311
16,0.000441021477240442,0.00608479313693035,0.10586058597512,0.803184522173208,0.311514371064231
17,0.000437338830715395,0.00602152776083234,0.105836243597678,0.803454244590727,0.312059260356969
18,0.000433730251260302,0.00596548194661243,0.10579876519591,0.803727026948868,0.312594772373859
19,0.000430186967027353,0.0059148643879006,0.105750294183276,0.804002437316357,0.31312171586131
20,0.000426702395952059,0.00586834714800991,0.105692649249357,0.804280093027534,0.313640792517418
21,0.000423271554351193,0.00582494724290092,0.105627372937832,0.804559654382642,0.314152612245819
22,0.000419890627251184,0.00578393738756875,0.105555772989258,0.804840819199956,0.314657706194203
23,0.000416556656054264,0.0057447792703761,0.10547895752403,0.805123318104881,0.315156537899342
24,0.000413267311348461,0.00570707396546993,0.105397864981246,0.805406910455645,0.315649512814268
25,0.000410020727513826,0.00567052524002788,0.105313289593239,0.805691380818287,0.31613698645355
26,0.000406815382192169,0.00563491248649283,0.105225903059768,0.805976535915198,0.316619271358406
27,0.000403650008339109,0.00560007079756239,0.105136272987233,0.806262201981675,0.317096643054115
28,0.000400523529950045,0.00556587631959733,0.105044878574317,0.806548222473901,0.317569345147079
29,0.000397435014997275,0.00553223549490131,0.104952123953936,0.80683445607954,0.318037593687334
30,0.000394383640888687,0.00549907716293402,0.104858349540453,0.807120774988932,0.31850158090398
31,0.000391368669044496,0.00546634676013871,0.104763841679284,0.807407063390739,0.318961478405177
32,0.000388389426120744,0.00543400205874366,0.10466884085183,0.807693216160962,0.319417439920985
33,0.000385445290084771,0.00540201003348284,0.104573548651051,0.807979137718624,0.319869603655797
34,0.000382535679838208,0.00537034455477242,0.10447813371101,0.808264741025207,0.320318094307321
35,0.000379660047439033,0.00533898468748905,0.104382736746398,0.80854994670814,0.320763024800696
36,0.000376817872232403,0.00530791343366313,0.104287474834874,0.808834682291447,0.321204497779194
37,0.000374008656387316,0.00527711680076627,0.10419244505526,0.809118881519035,0.321642606886858
38,0.000371231921472484,0.00524658310902449,0.104097727577802,0.809402483758175,0.322077437873228
39,0.000368487205803373,0.00521630247441526,0.104003388288396,0.809685433472466,0.322509069545903
40,0.000365774062364497,0.00518626642099399,0.103909481016465,0.809967679755092,0.322937574592861
41,0.000363092057163109,0.00515646758861016,0.103816049425778,0.810249175914468,0.32336302029329
42,0.000360440767908699,0.00512689951115008,0.103723128618697,0.810529879105482,0.323785469132902
43,0.000357819782940244,0.00509755644707439,0.103630746496772,0.810809750000485,0.324204979337371
44,0.000355228700343548,0.00506843324886836,0.103538924914228,0.811088752494985,0.324621605335543
45,0.000352667127215756,0.00503952526156779,0.103447680655432,0.811366853443717,0.32503539816237
46,0.000350134679044957,0.00501082824311715,0.103357026262766,0.811644022423331,0.325446405810048
47,0.000347630979180756,0.00498233830121462,0.103266970737418,0.811920231518475,0.325854673534628
48,0.000345155658377563,0.00495405184268943,0.103177520132215,0.812195455128469,0.326260244124302
49,0.000342708354396669,0.00492596553247688,0.103088678052772,0.812469669792151,0.326663158134659
50,0.000340288711656391,0.00489807626000445,0.103000446080798,0.812742854028805,0.327063454095465
51,0.000337896380921967,0.00487038111135345,0.10291282413133,0.813014988193335,0.327461168692827
52,0.000335531019028652,0.00484287734596573,0.102825810753898,0.813286054344118,0.327856336930095
53,0.000333192288632851,0.00481556237696474,0.102739403386125,0.813556036122145,0.328248992270323
54,0.000330879857987137,0.00478843375438179,0.102653598567003,0.813824918640249,0.328639166762746
55,0.000328593400735791,0.00476148915074319,0.102568392115986,0.814092688381382,0.329026891155375
56,0.00032633259572808,0.00473472634859647,0.102483779283123,0.814359333104994,0.329412194995495
57,0.000324097126847039,0.0047081432296466,0.102399754874666,0.814624841760737,0.329795106719617
