"segmento","regimen","iter_inicio","iter_fin","duracion","loss_inicio","loss_fin","delta_loss","grad_prom","speed_prom"
1,"Ajuste inicial",0,0,1,0.000569274695467809,0.000569274695467809,0,0.0153395460868169,0.00153395460868169
2,"Descenso dirigido",1,10,10,0.000547172273905477,0.000465725779648662,-8.14464942568151e-05,0.0092317377193412,0.00092317377193412
3,"Refinamiento",11,100,90,0.000461139042753742,0.000248111289482336,-0.000213027753271406,0.00483205081531948,0.000483205081531949
