"","theta1","theta2","theta3"
"theta1",0.39937901834936,-0.264834867367604,-0.0648639393647957
"theta2",-0.264834867367604,0.316416572854379,0.328201846740996
"theta3",-0.0648639393647957,0.328201846740996,1.37704158243178
