"iter","loss","grad_norm","W_norm","b1_norm","v_norm","b2"
0,0.218387576006887,0.580750133449679,0.239996268650115,0,0.151148619457869,0
1,0.188078197550124,0.463490418423884,0.237734063085324,0.00840712140339237,0.147476637423468,0.0559939356408675
2,0.168735579098613,0.371637871850166,0.236313789631512,0.0149026166945547,0.145493324287306,0.100361431155665
3,0.156267692219749,0.299891773375467,0.235573954868056,0.0199681043934658,0.144753140473613,0.135514706048651
4,0.148118874971611,0.244229675097902,0.235405141066312,0.0239432971337355,0.144971937859818,0.163355508708867
5,0.142684837224589,0.201561364575353,0.235732191328815,0.0270753476847684,0.145966283312691,0.185387647708397
6,0.138954750743489,0.169475084378803,0.236503205737914,0.0295483333463938,0.147616512336905,0.202802499845975
7,0.136289704675391,0.146032536922407,0.237682471559526,0.0315017638205569,0.149843704314284,0.216545043052257
8,0.134284558701487,0.129602290210013,0.239245767429585,0.0330427370435093,0.152595124836729,0.227365372085317
9,0.132681392302337,0.118747000552209,0.241177153909462,0.0342542467600102,0.155834943658829,0.235859151554384
10,0.131315113002732,0.112182593766065,0.243466723229911,0.0352010523758939,0.159538290213065,0.242499516848523
11,0.1300792064294,0.108797284651259,0.24610898318499,0.0359339391126616,0.16368743870183,0.247662301529688
12,0.128904142847002,0.107686004424721,0.249101668326354,0.0364928754632808,0.16826935635257,0.251646024957756
13,0.127743754792327,0.108160480608084,0.252444843345161,0.0369093915627805,0.173274122935,0.254687749097068
14,0.126566643537679,0.109726774321292,0.256140208524803,0.0372083932381338,0.178693903719782,0.256975669894961
15,0.125350762768794,0.112044563788011,0.260190546183884,0.0374095592805748,0.184522270036539,0.258659122598388
16,0.124080012577556,0.114884521648732,0.264599266229938,0.0375284263132494,0.190753734337389,0.259856536486962
17,0.122742107697803,0.118092735866073,0.269370021914191,0.0375772368713243,0.197383414230809,0.260661762243588
18,0.121327255381824,0.121564417856294,0.274506375806495,0.0375656065285614,0.204406771137439,0.261149107089771
19,0.119827349504608,0.125225799078188,0.280011502266992,0.0375010519175429,0.211819389678253,0.261377343402634
20,0.118235495448977,0.129022178831702,0.285887917156105,0.0373894113784977,0.219616777305442,0.261392901688863
21,0.116545748368064,0.132910231224345,0.292137228773042,0.0372351825277004,0.227794172441853,0.261232415372851
22,0.114752990219332,0.136853133418276,0.29875990642934,0.0370417954756978,0.236346355106842,0.260924750431089
23,0.112852897775016,0.140817520058589,0.305755064906515,0.036811836220336,0.245267457739651,0.260492625577558
24,0.110841970486783,0.144771609664148,0.313120264488986,0.0365472315245593,0.254550776391477,0.259953906990217
25,0.108717597321529,0.148684085937962,0.320851327418814,0.0362494041057878,0.264188584106291,0.259322644298091
26,0.1064781478453,0.152523473346368,0.328942172557575,0.0359194050262349,0.274171949443873,0.258609900800503
27,0.104123076421617,0.156257846073497,0.337384670800037,0.0355580286462354,0.284490563897745,0.257824419937021
28,0.101653030387699,0.159854771498844,0.346168524376646,0.0351659142862136,0.295132582528016,0.256973161293635
29,0.0990699541254517,0.16328142693158,0.355281173600669,0.0347436377645237,0.30608448251333,0.256061732463464
30,0.0963771814958727,0.166504850281418,0.364707734842075,0.0342917951848573,0.317330944539557,0.255094737520189
31,0.0935795094672226,0.169492297369437,0.374430973517688,0.0338110806994735,0.328854761975938,0.254076058426458
32,0.0906832461640458,0.172211684369137,0.384431315648817,0.033302359444668,0.340636782620201,0.253009082164872
33,0.0876962271581181,0.174632095822479,0.394686901031926,0.0327667364109009,0.352655887398175,0.251896883570098
34,0.0846277947232976,0.176724338413074,0.405173680284937,0.0322056216535545,0.364889009760646,0.250742371618775
35,0.0814887360438718,0.178461519333847,0.415865556978447,0.0316207919535214,0.377311198621874,0.24954840518978
36,0.0782911780093612,0.179819626494506,0.426734574765514,0.0310144487794363,0.389895726538373,0.248317882954045
37,0.0750484382051254,0.180778086606735,0.437751147936943,0.0303892721601083,0.402614243461225,0.247053811020498
38,0.0717748339247863,0.181320276833837,0.448884332224855,0.029748469814497,0.415436974860399,0.245759351195743
39,0.0684854533509567,0.181433966518288,0.460102131048459,0.029095820567776,0.428332961386052,0.2444378521621
40,0.0651958953067621,0.181111667673871,0.47137183084761,0.028435710659685,0.441270335587484,0.243092865500951
41,0.0619219859890843,0.180350876458969,0.482660357790995,0.0277731609777732,0.454216629654343,0.241728148250315
42,0.0586794826781719,0.179154192588465,0.493934647078827,0.02711384248334,0.46713910677837,0.240347653555587
43,0.0554837754276256,0.177529309308634,0.505162015370188,0.0264640761267647,0.480005107652303,0.238955510921536
44,0.0523495980711845,0.175488872759657,0.516310526611432,0.0258308124078652,0.492782402904287,0.237555997576064
45,0.0492907594967337,0.173050215828041,0.527349341750319,0.0252215845509333,0.505439541965345,0.236153502488345
46,0.0463199050595487,0.170234977479539,0.538249043480782,0.0246444282902668,0.517946189008377,0.234752484625037
47,0.0434483163269436,0.167068623636952,0.548981928230334,0.0241077609256796,0.530273437170871,0.233357427060675
48,0.0406857552100571,0.163579889588488,0.559522259001175,0.0236202132022479,0.542394093239394,0.231972788567646
49,0.0380403561265417,0.159800166462005,0.569846474309959,0.0231904103759671,0.55428292626404,0.230602954286858
50,0.0355185673462042,0.155762855393556,0.57993335023116,0.0228267041083912,0.565916875096829,0.229252187015643
51,0.0331251402889037,0.151502712701035,0.589764114324638,0.022536864680909,0.57727521150978,0.227924580542094
52,0.0308631634328577,0.147055207804433,0.599322511917719,0.0223277526441093,0.588339657244015,0.226624016306261
53,0.0287341357745269,0.142455913055845,0.608594826730007,0.0222049984870328,0.599094454975308,0.225354124483385
54,0.026738073533559,0.13773994134654,0.617569859111345,0.0221727253389073,0.609526394672219,0.224118250370443
55,0.0248736430445281,0.132941443651114,0.626238866169307,0.0222333501119941,0.6196247981072,0.222919426724666
56,0.0231383125042526,0.128093174839854,0.634595468775716,0.0223874911101567,0.629381465316607,0.221760352462345
57,0.0215285153970575,0.123226132391005,0.642635530866228,0.0226339956565099,0.638790587571696,0.220643377889491
58,0.0200398189239554,0.118369269261987,0.650357016604587,0.0229700830932438,0.647848631917903,0.219570496413099
59,0.0186670915259785,0.113549279271066,0.657759830907725,0.0233915814672029,0.65655420257914,0.218543342481864
60,0.0174046645247822,0.108790450978297,0.66484564856116,0.0238932247636705,0.664907884534751,0.217563195335093
61,0.0162464839189505,0.10411458426482,0.671617736740988,0.0244689739209484,0.672912074394901,0.216630988002744
62,0.015186249397577,0.0995409625788553,0.678080775243553,0.0251123285446847,0.680570803365249,0.215747320900102
63,0.0142175386042014,0.095086373099632,0.68424067814758,0.0258166047435908,0.687889556644471,0.214912479297422
64,0.013333915560857,0.0907651668019658,0.690104420032039,0.0265751647030819,0.694875093077224,0.214126453915863
65,0.0125290229163854,0.0865893505082034,0.695679869275716,0.0273815929372138,0.701535268325168,0.213388963902545
66,0.0117966583018248,0.082568703412652,0.700975630394429,0.0282298211665198,0.707878864249285,0.21269948146503
67,0.0111308355565659,0.0787109111812299,0.706000896845524,0.0291142080893435,0.713915426641938,0.21205725749363
68,0.0105258319388097,0.075021711497961,0.710765315257652,0.0300295822891395,0.719655112924906,0.211461347563496
69,0.00997622266534492,0.0715050457911101,0.715278861632695,0.0309712568014158,0.725108550952869,0.210910637782058
70,0.00947690425509747,0.0681632127757458,0.719551729717944,0.031935023120216,0.730286709638457,0.210403870026599
71,0.00902310819612513,0.0649970203555992,0.723594231459093,0.0329171311919163,0.735200781748893,0.209939666197314
72,0.00861040643462833,0.0620059333019879,0.727416709214741,0.0339142605876673,0.73986207891611,0.209516551189917
73,0.0082347101138982,0.0591882149436454,0.731029459236004,0.034923486775997,0.744281938650277,0.209132974366047
74,0.00789226288591513,0.0565410618350003,0.734442665784648,0.0359422453327967,0.748471642947112,0.208787329367633
75,0.00757962999135257,0.054060731001169,0.737666345173665,0.0369682960550952,0.752442347927633,0.20847797218174
76,0.00729368416554322,0.0517426598677144,0.740710298959215,0.0379996882764992,0.756205023839431,0.208203237414642
77,0.00703158928679674,0.0495815793574386,0.743584075486348,0.0390347281871549,0.75977040467561,0.207961452777834
78,0.00679078254553724,0.0475716208655142,0.746296938987459,0.0400719486058736,0.763148946625402,0.207750951824572
79,0.00656895578246907,0.0457064179058377,0.748857845447008,0.0411100814047418,0.766350794553883,0.207570085003826
80,0.0063640365242807,0.0439792031631702,0.751275424474324,0.0421480326198312,0.769385755712051,0.207417229119896
81,0.00617416913792583,0.0423829015065244,0.753557966464598,0.0431848601736071,0.772263279898465,0.207290795301215
82,0.0059976964299903,0.0409102192502756,0.755713414373217,0.0442197540684045,0.774992445325598,0.207189235591729
83,0.00583314193605072,0.0395537296313608,0.757749359477959,0.0452520188732391,0.77758194948477,0.207111048283703
84,0.00567919307573357,0.0383059541500743,0.759673040554989,0.046281058308995,0.780040104350046,0.207054782112476
85,0.00553468529152955,0.0371594391443923,0.76149134594653,0.0473063617330119,0.78237483531157,0.207019039432462
86,0.00539858724223398,0.0361068267724817,0.763210818049234,0.0483274923285888,0.784593683280408,0.207002478490085
87,0.00526998708400288,0.0351409194912528,0.764837659801637,0.0493440768146251,0.786703809458753,0.207003814904063
88,0.0051480798422429,0.0342547371501797,0.766377742796066,0.0503557965032882,0.788712002320011,0.207021822456901
89,0.00503215585473283,0.0334415659616534,0.767836616684434,0.051362379547693,0.790624686392045,0.207055333294137
90,0.00492159024941943,0.0326949988397037,0.769219519588261,0.0523635942360914,0.792447932483098,0.207103237620096
91,0.00481583340824502,0.032008966886046,0.7705313892609,0.0533592432033458,0.794187469033176,0.207164482970933
92,0.00471440236026272,0.0313777621102942,0.771776874784207,0.0543491584440971,0.795848694313805,0.207238073137837
93,0.00461687304239575,0.0307960517660565,0.772960348612953,0.0553331970247932,0.797436689235864,0.207323066805566
94,0.0045228733638293,0.0302588849392437,0.774085918808112,0.0563112374035091,0.79895623055869,0.207418575964119
95,0.00443207700961407,0.0297616922210997,0.775157441325048,0.0572831762772117,0.800411804323938,0.207523764144397
96,0.00434419792013135,0.029300279427729,0.776178532244719,0.0582489258858191,0.801807619364797,0.207637844522261
97,0.00425898538522429,0.0288708163904543,0.777152579855426,0.0592084117111052,0.803147620765375,0.207760077929436
98,0.00417621969471611,0.0284698218439757,0.778082756509788,0.0601615705162697,0.80443550316649,0.207889770804272
99,0.00409570829045394,0.0280941453930455,0.778972030196441,0.0611083486789,0.805674723832956,0.208026273110476
100,0.00401728236873207,0.027740947456045,0.779823175778946,0.0620487007761598,0.806868515414005,0.208168976247504
101,0.00394079388580018,0.0274076779783013,0.780638785865481,0.0629825883864327,0.808019898342812,0.208317310972389
102,0.00386611292303043,0.0270920545906683,0.781421281282489,0.0639099790763914,0.809131692833566,0.208470745349285
103,0.00379312537211028,0.0267920407692419,0.78217292113357,0.064830845546622,0.810206530445196,0.20862878273997
104,0.00372173090428167,0.0265058244371226,0.782895812431799,0.0657451649125767,0.811246865190008,0.208790959845856
105,0.00365184119111675,0.0262317973436968,0.78359191929947,0.0666529181008072,0.812254984173257,0.208956844809767
106,0.00358337834757654,0.025968535463784,0.784263071734035,0.0675540893432055,0.813233017756178,0.20912603538372
107,0.00351627357112671,0.025714780579458,0.78491097394305,0.068448665754389,0.814182949240491,0.209298157167241
108,0.00345046595347614,0.0254694231414339,0.78553721225415,0.0693366369794657,0.815106624076888,0.209472861919303
109,0.00338590144406139,0.0252314864539056,0.786143262608689,0.0702179949012304,0.816005758603711,0.209649825945728
110,0.00332253194672761,0.0250001121853643,0.786730497649776,0.071092733397418,0.816881948325025,0.209828748562879
111,0.00326031453316514,0.0247745471767616,0.787300193417021,0.0719608481400007,0.817736675739633,0.21000935063761
112,0.00319921075856194,0.0245541314958311,0.787853535661504,0.0728223364296914,0.818571317734449,0.210191373202742
113,0.00313918606663899,0.0243382876709485,0.78839162579536,0.0736771970598286,0.819387152557034,0.210374576146773
114,0.00308020927276313,0.0241265110282006,0.788915486490944,0.0745254302046897,0.820185366383073,0.210558736976078
115,0.00302225211519428,0.0239183610501146,0.789426066944879,0.075367037328032,0.820967059495314,0.210743649647496
116,0.00296528886573566,0.0237134536727221,0.789924247822443,0.0762020211083023,0.821733252090847,0.210929123468941
117,0.00290929599212994,0.0235114544384072,0.790410845897711,0.0770303853775106,0.822484889733831,0.211114982065484
118,0.00285425186549631,0.0233120724246028,0.790886618404729,0.0778521350712341,0.823222848470741,0.2113010624082
119,0.00280013650694275,0.0231150548722638,0.79135226711474,0.0786672761876256,0.823947939625092,0.211487213903004
120,0.00274693136822856,0.0229201824427155,0.791808442154107,0.0794758157536406,0.824660914288277,0.211673297536658
121,0.00269461914200387,0.0227272650365977,0.792255745577181,0.0802777617969967,0.825362467522825,0.211859185077116
122,0.00264318359772488,0.022536138113936,0.792694734707915,0.0810731233226268,0.826053242293899,0.212044758325395
123,0.002592609439846,0.0223466594596808,0.79312592526347,0.0818619102925998,0.826733833144361,0.212229908416217
124,0.00254288218532953,0.0221587063442192,0.793549794272594,0.0826441336086645,0.827404789628178,0.212414535164709
125,0.00249398805789886,0.0219721730333059,0.793966782800962,0.0834198050967242,0.828066619516344,0.212598546456537
126,0.00244591389679673,0.0217869686064921,0.794377298495131,0.0841889374926778,0.828719791788912,0.212781857678944
127,0.00239864707810455,0.0216030150474538,0.79478171795622,0.0849515444291735,0.829364739426099,0.212964391190233
128,0.00235217544693427,0.0214202455735843,0.795180388953857,0.0857076404229085,0.830001862010816,0.213146075825353
129,0.00230648725902758,0.0212386031758481,0.795573632490396,0.0864572408621908,0.830631528154376,0.21332684643536
130,0.00226157113049175,0.0210580393431811,0.795961744724897,0.0872003619945348,0.831254077756496,0.213506643458598
131,0.00221741599457021,0.0208785129486921,0.796344998765805,0.0879370209141229,0.831869824110169,0.213685412521587
132,0.00217401106449297,0.0206999892775866,0.796723646340812,0.088667235549004,0.832479055861341,0.213863104067677
133,0.00213134580157995,0.0205224391791207,0.797097919351851,0.0893910246479382,0.833082038832833,0.214039673011663
134,0.00208940988788072,0.0203458383270162,0.797468031322765,0.0901084077668259,0.833679017721364,0.214215078418632
135,0.00204819320273085,0.0201701665746615,0.797834178746688,0.0908194052546838,0.834270217676029,0.214389283205417
136,0.00200768580268821,0.0199954073930933,0.7981965423398,0.0915240382391499,0.834855845766104,0.214562253863141
137,0.001967877904385,0.0198215473812398,0.798555288207687,0.0922223286115136,0.835436092345537,0.214733960199414
138,0.00192875986989427,0.019648575839211,0.798910568930153,0.0929142990112818,0.836011132321075,0.214904375098823
139,0.00189032219426345,0.0194764843965737,0.79926252456998,0.0935999728102993,0.836581126330523,0.215073474300477
140,0.00185255549491503,0.0193052666885641,0.799611283610765,0.0942793740964487,0.837146221837217,0.215241236191395
141,0.00181545050265501,0.0191349180740798,0.799956963828655,0.0949525276569632,0.837706554146429,0.215407641614657
142,0.00177899805406474,0.0189654353900741,0.800299673102479,0.0956194589613863,0.838262247349042,0.215572673691262
143,0.00174318908508272,0.0187968167376613,0.800639510166489,0.0962801941442156,0.838813415197482,0.215736317654736
144,0.00170801462560896,0.018629061295841,0.800976565309643,0.0969347599872713,0.839360161918584,0.215898560697592
145,0.0016734657949873,0.0184621691592731,0.801310921025115,0.0975831839018282,0.839902582967756,0.216059391828785
146,0.00163953379824102,0.0182961411969949,0.801642652613457,0.0982254939105512,0.840440765728502,0.216218801741395
147,0.00160620992295375,0.0181309789293719,0.801971828742626,0.098861718629273,0.840974790161128,0.21637678268979
148,0.00157348553670286,0.0179666844209235,0.802298511967866,0.0994918872486535,0.841504729404162,0.216533328375608
149,0.00154135208496468,0.0178032601869702,0.802622759214231,0.100116029515755,0.842030650331806,0.216688433841899
150,0.00150980108942246,0.0176407091123157,0.802944622224357,0.100734175715574,0.842552614070506,0.216842095374864
151,0.00147882414661688,0.0174790343804067,0.80326414797391,0.10134635665255,0.843070676477513,0.216994310412628
152,0.00144841292688767,0.0173182394116199,0.803581379056961,0.101952603632107,0.84358488858412,0.217145077460534
153,0.00141855917356152,0.0171583278094972,0.803896354043406,0.102552948442228,0.844095297006066,0.217294396012499
154,0.00138925470234798,0.0169993033139055,0.804209107810388,0.103147423335114,0.84460194432344,0.217442266477983
155,0.00136049140090982,0.0168411697602324,0.804519671849546,0.103736061008939,0.845104869432242,0.217588690114166
156,0.00133226122857955,0.0166839310438411,0.804828074551801,0.104318894589736,0.84560410786962,0.217733668962948
157,0.00130455621619702,0.0165275910891139,0.80513434147125,0.104895957613426,0.846099692114656,0.217877205792433
158,0.00127736846604707,0.0163721538224966,0.805438495569655,0.105467284008013,0.846591651866453,0.218019304042561
159,0.00125069015187856,0.0162176231490371,0.805740557442891,0.106032908075968,0.84708001430113,0.218159967774586
160,0.0012245135189892,0.0160640029319736,0.806040545530635,0.10659286447682,0.847564804309255,0.218299201624124
161,0.00119883088436234,0.0159112969749896,0.806338476310476,0.107147188209951,0.848046044715103,0.218437010757512
162,0.00117363463684403,0.0157595090067986,0.806634364477558,0.107695914597641,0.848523756479053,0.218573400831229
163,0.00114891723735027,0.015608642667771,0.806928223110782,0.108239079268337,0.848997958884333,0.218708377954164
164,0.00112467121909564,0.015458701498346,0.807220063826515,0.108776718140192,0.849468669709247,0.218841948652518
165,0.00110088918783606,0.0153096889290115,0.807509896920707,0.109308867404862,0.849935905385922,0.218974119837156
166,0.00107756382211895,0.0151616082716585,0.807797731500229,0.109835563511569,0.850399681146559,0.21910489877322
167,0.00105468787353568,0.015014462712144,0.808083575604216,0.110356843151454,0.850860011158089,0.219234293051848
168,0.00103225416697132,0.014868255303917,0.808367436316102,0.110872743242205,0.851316908646074,0.219362310563845
169,0.00101025560084784,0.0147229889625803,0.808649319867047,0.111383300912984,0.851770386008635,0.219488959475163
170,0.00098868514735738,0.014578666461279,0.808929231731338,0.111888553489639,0.852220454921134,0.219614248204051
171,0.000967535852682614,0.0144352904268187,0.809207176714357,0.112388538480224,0.85266712643228,0.219738185399778
172,0.000946800837201901,0.0142928633364296,0.809483159033649,0.112883293560808,0.853110411052298,0.219860779922786
173,0.000926473295677099,0.0141513875151031,0.809757182393574,0.113372856561596,0.853550318833716,0.219982040826196
174,0.00090654649742241,0.0140108651334379,0.810029250054007,0.113857265453345,0.853986859445341,0.220101977338553
175,0.00088701378645285,0.0138712982059374,0.810299364893523,0.114336558334091,0.854420042239908,0.220220598847727
176,0.000867868581611205,0.013732688589712,0.810567529467451,0.114810773416171,0.85484987631586,0.220337914885894
