"iter","time","loss","grad_norm","speed","eta","b","w1","w2","theta1","theta_dot1","theta2","theta_dot2","theta3","theta_dot3"
23,23,0.000416556656054264,0.0057447792703761,0.00057447792703761,0.1,0.10547895752403,0.805123318104881,0.315156537899342,0.805123318104881,0.000283592350763902,0.315156537899342,0.000492974914926193,0.10547895752403,-8.10925427838271e-05
24,24,0.000413267311348461,0.00570707396546993,0.000570707396546993,0.1,0.105397864981246,0.805406910455645,0.315649512814268,0.805406910455645,0.00028447036264226,0.315649512814268,0.000487473639282327,0.105397864981246,-8.45753880066252e-05
25,25,0.000410020727513826,0.00567052524002788,0.000567052524002788,0.1,0.105313289593239,0.805691380818287,0.31613698645355,0.805691380818287,0.000285155096910894,0.31613698645355,0.000482284904855562,0.105313289593239,-8.7386533471311e-05
26,26,0.000406815382192169,0.00563491248649283,0.000563491248649284,0.1,0.105225903059768,0.805976535915198,0.316619271358406,0.805976535915198,0.000285666066477478,0.316619271358406,0.000477371695709836,0.105225903059768,-8.96300725355605e-05
27,27,0.000403650008339109,0.00560007079756239,0.000560007079756239,0.1,0.105136272987233,0.806262201981675,0.317096643054115,0.806262201981675,0.000286020492226155,0.317096643054115,0.000472702092963124,0.105136272987233,-9.13944129151305e-05
28,28,0.000400523529950045,0.00556587631959733,0.000556587631959733,0.1,0.105044878574317,0.806548222473901,0.317569345147079,0.806548222473901,0.000286233605638429,0.317569345147079,0.000468248540255846,0.105044878574317,-9.27546203810732e-05
29,29,0.000397435014997275,0.00553223549490131,0.000553223549490131,0.1,0.104952123953936,0.80683445607954,0.318037593687334,0.80683445607954,0.00028631890939183,0.318037593687334,0.000463987216646043,0.104952123953936,-9.37744134835844e-05
30,30,0.000394383640888687,0.00549907716293402,0.000549907716293402,0.1,0.104858349540453,0.807120774988932,0.31850158090398,0.807120774988932,0.000286288401807629,0.31850158090398,0.000459897501196507,0.104858349540453,-9.45078611686195e-05
31,31,0.000391368669044496,0.00546634676013871,0.000546634676013871,0.1,0.104763841679284,0.807407063390739,0.318961478405177,0.807407063390739,0.000286152770222569,0.318961478405177,0.000455961515807753,0.104763841679284,-9.50008274544808e-05
32,32,0.000388389426120744,0.00543400205874366,0.000543400205874366,0.1,0.10466884085183,0.807693216160962,0.319417439920985,0.807693216160962,0.0002859215576618,0.319417439920985,0.000452163734812169,0.10466884085183,-9.52922007787815e-05
33,33,0.000385445290084771,0.00540201003348284,0.000540201003348284,0.1,0.104573548651051,0.807979137718624,0.319869603655797,0.807979137718624,0.000285603306582956,0.319869603655797,0.000448490651523862,0.104573548651051,-9.54149400412542e-05
34,34,0.000382535679838208,0.00537034455477242,0.000537034455477242,0.1,0.10447813371101,0.808264741025207,0.320318094307321,0.808264741025207,0.000285205682933508,0.320318094307321,0.000444930493375075,0.10447813371101,-9.53969646119903e-05
35,35,0.000379660047439033,0.00533898468748905,0.000533898468748905,0.1,0.104382736746398,0.80854994670814,0.320763024800696,0.80854994670814,0.000284735583306779,0.320763024800696,0.000441472978498461,0.104382736746398,-9.52619115232919e-05
36,36,0.000376817872232403,0.00530791343366313,0.000530791343366313,0.1,0.104287474834874,0.808834682291447,0.321204497779194,0.808834682291447,0.000284199227587834,0.321204497779194,0.000438109107663339,0.104287474834874,-9.5029779614217e-05
37,37,0.000374008656387316,0.00527711680076627,0.000527711680076628,0.1,0.10419244505526,0.809118881519035,0.321642606886858,0.809118881519035,0.000283602239140058,0.321642606886858,0.00043483098637048,0.10419244505526,-9.4717477458584e-05
38,38,0.000371231921472484,0.00524658310902449,0.000524658310902449,0.1,0.104097727577802,0.809402483758175,0.322077437873228,0.809402483758175,0.000282949714291194,0.322077437873228,0.000431631672674754,0.104097727577802,-9.43392894055071e-05
39,39,0.000368487205803373,0.00521630247441526,0.000521630247441526,0.1,0.104003388288396,0.809685433472466,0.322509069545903,0.809685433472466,0.000282246282625826,0.322509069545903,0.000428505046957737,0.104003388288396,-9.39072719311861e-05
40,40,0.000365774062364497,0.00518626642099399,0.000518626642099399,0.1,0.103909481016465,0.809967679755092,0.322937574592861,0.809967679755092,0.000281496159375727,0.322937574592861,0.000425445700429312,0.103909481016465,-9.3431590686584e-05
41,41,0.000363092057163109,0.00515646758861016,0.000515646758861016,0.1,0.103816049425778,0.810249175914468,0.32336302029329,0.810249175914468,0.000280703191014286,0.32336302029329,0.000422448839612208,0.103816049425778,-9.29208070809074e-05
42,42,0.000360440767908699,0.00512689951115008,0.000512689951115007,0.1,0.103723128618697,0.810529879105482,0.323785469132902,0.810529879105482,0.00027987089500275,0.323785469132902,0.000419510204468506,0.103723128618697,-9.23821219255153e-05
