"estado","loss","grad_norm","lambda_min","lambda_max","n_pos","n_neg","n_zero","clasificacion","curvatura"
"inicial",0.000569274695467809,0.0153395460868169,0.06026316677927,1.4862618535032,3,0,0,"curvatura_positiva",1.21334604580483
"final",0.000248111289482336,0.00371327012265456,0.0541198702934181,1.48780078545199,3,0,0,"curvatura_positiva",0.0541280672571092
