"regimen","frecuencia","proporcion","loss_media","loss_min","loss_max","grad_media","speed_media"
"Refinamiento",90,0.891089108910891,0.000336332768350719,0.000248111289482336,0.000461139042753742,0.00483205081531948,0.000483205081531949
"Descenso dirigido",10,0.099009900990099,0.000497783529009446,0.000465725779648662,0.000547172273905477,0.0092317377193412,0.00092317377193412
"Ajuste inicial",1,0.0099009900990099,0.000569274695467809,0.000569274695467809,0.000569274695467809,0.0153395460868169,0.00153395460868169
